DateTime,AddedIPs,RemovedIPs
1666635168,3,4
1666635881,3,6
1666636810,8,0
1666637527,3,2
1666638283,4,3
1666639010,1,6
1666639737,4,2
1666640690,4,3
1666641403,1,6
1666642331,1,5
1666643052,4,0
1666643768,3,3
1666644486,4,1
1666645448,6,3
1666646165,2,4
1666647125,5,3
1666647886,3,4
1666648612,2,5
1666649322,7,0
1666650284,7,9
1666651014,4,4
1666651961,4,4
1666652682,4,1
1666653367,1,4
1666654090,2,2
1666655083,1,2
1666655805,8,11
1666656770,6,9
1666657450,3,0
1666658168,1,2
1666659132,3,6
1666659884,3,5
1666660600,2,1
1666661287,5,7
1666662006,1,5
1666662729,7,9
1666663447,1,7
1666664167,12,9
1666664889,4,5
1666665613,5,4
1666666566,3,9
1666667531,4,0
1666668284,5,2
1666669006,3,3
1666669930,3,2
1666670681,4,6
1666671401,3,6
1666672133,5,3
1666672842,2,2
1666673773,6,4
1666674730,1,1
1666675448,3,3
1666676168,6,2
1666677128,0,2
1666677852,1,2
1666678568,3,2
1666679529,1,2
1666680250,1,3
1666680967,6,6
1666681931,6,2
1666682652,1,5
1666683612,5,1
1666684365,7,5
1666685051,3,4
1666686008,1,2
1666686731,2,3
1666687486,3,0
1666688168,4,2
1666688887,0,3
1666689653,3,3
1666690325,2,2
1666691049,8,2
1666691770,3,6
1666692487,4,2
1666693487,4,3
1666694201,4,1
1666694891,2,1
1666695889,5,3
1666696600,2,0
1666697533,0,8
1666698280,5,0
1666699220,1,6
1666699926,1,3
1666700892,5,3
1666701881,7,4
1666702847,5,6
1666703560,4,0
1666704285,1,5
1666705010,4,0
1666705969,2,6
1666706687,0,2
1666707608,1,5
1666708604,4,1
1666709331,3,5
1666710282,4,4
1666710966,3,2
1666711690,2,1
1666712690,5,4
1666713400,3,2
1666714122,2,4
1666714806,2,6
1666715525,10,3
1666716249,4,4
1666716968,1,0
1666717688,6,2
1666718411,2,4
1666719404,5,5
1666720362,6,1
1666721047,3,4
1666721802,9,4
1666722531,3,4
1666723240,4,1
1666723925,4,0
1666724650,2,4
1666725370,4,3
1666726093,1,4
1666726850,4,6
1666727531,0,4
1666728251,1,2
1666728966,5,5
1666729927,3,2
1666730684,3,4
1666731413,1,3
1666732371,2,1
1666733080,5,3
1666734048,3,7
1666734729,2,2
1666735452,1,5
1666736168,3,3
1666737170,1,14
1666737880,1,4
1666738610,2,3
1666739532,4,5
1666740967,4,3
1666741927,5,7
1666742648,8,10
1666743368,3,4
1666744364,4,6
1666745046,3,5
1666745766,2,6
1666746521,3,1
1666747243,3,10
1666748202,6,3
1666748923,3,7
1666749887,5,21
1666750566,10,0
1666751560,4,8
1666752250,2,4
1666752966,8,0
1666753724,7,5
1666754648,4,4
1666755606,2,6
1666756325,6,0
1666757049,1,3
1666757766,3,3
1666758529,4,4
1666759241,3,3
1666760172,5,2
1666760886,4,4
1666761605,2,3
1666762325,4,2
1666763046,1,1
1666764017,3,0
1666764968,6,7
1666766648,5,2
1666767367,1,0
1666768375,5,8
1666769046,3,0
1666769887,1,4
1666770765,5,4
1666771486,4,2
1666772216,2,0
1666773161,4,6
1666773850,2,0
1666774565,4,2
1666775559,2,7
1666776523,8,5
1666777210,3,3
1666777931,1,5
1666778647,4,2
1666779609,7,2
1666780360,7,1
1666781327,3,7
1666782009,6,0
1666782725,5,3
1666783481,3,5
1666784409,4,2
1666785130,4,3
1666785850,0,3
1666786566,1,5
1666787561,4,3
1666788282,0,4
1666789250,3,10
1666789962,2,1
1666790929,3,3
1666791852,0,3
1666792609,3,3
1666793319,2,4
1666794010,1,4
1666794725,3,0
1666795446,0,2
1666796407,0,2
1666797170,2,4
1666797889,1,5
1666798569,6,1
1666799288,2,5
1666800288,4,4
1666801001,5,7
1666801971,8,7
1666802682,4,5
1666803365,4,0
1666804330,8,4
1666805048,4,11
1666806012,1,5
1666807010,7,2
1666807721,5,3
1666808420,6,5
1666809126,2,16
1666809850,2,2
1666810565,3,3
1666811575,10,5
1666812292,6,1
1666813002,2,5
1666813686,1,1
1666814452,3,1
1666815406,4,6
1666816335,4,2
1666817084,4,0
1666817812,5,5
1666818489,4,3
1666819491,4,15
1666820206,2,0
1666821129,4,5
1666821848,2,3
1666822568,6,3
1666823572,6,4
1666824284,4,1
1666825205,5,3
1666825970,0,4
1666826936,1,3
1666827644,0,1
1666828569,4,7
1666829530,3,5
1666830285,5,4
1666830966,3,3
1666831685,2,7
1666832416,3,1
1666833165,8,2
1666833884,2,8
1666834604,8,4
1666835330,3,5
1666836054,4,0
1666836973,10,21
1666837969,10,1
1666838682,1,4
1666839622,7,8
1666840333,7,1
1666841046,1,0
1666842007,8,3
1666842728,11,9
1666843486,2,6
1666844166,4,0
1666845167,9,10
1666845882,3,1
1666846601,4,5
1666847529,1,0
1666848289,4,0
1666849003,1,0
1666849725,4,3
1666850691,5,2
1666851407,3,0
1666852127,3,0
1666852845,2,5
1666853525,1,2
1666854530,6,8
1666855455,6,4
1666856171,2,0
1666857132,2,1
1666857849,3,2
1666858503,3,3
1666859567,3,4
1666860525,5,0
1666861482,5,1
1666862405,8,4
1666863128,2,2
1666863883,2,1
1666864845,1,2
1666865560,1,3
1666866533,3,1
1666867249,2,3
1666867972,9,0
1666868683,1,2
1666869402,3,2
1666870365,5,5
1666871085,1,3
1666871768,1,2
1666872730,2,3
1666873451,3,3
1666874170,3,0
1666875132,3,3
1666875884,1,3
1666876566,4,2
1666877568,2,1
1666878976,1,1
1666879970,3,7
1666880651,4,4
1666881608,4,5
1666882327,2,5
1666883090,3,3
1666883767,4,1
1666884727,9,10
1666885453,6,2
1666886407,4,8
1666887164,3,4
1666887847,3,15
1666888571,4,2
1666889320,3,3
1666890022,6,5
1666891449,3,5
1666892166,1,0
1666892885,6,1
1666893650,2,4
1666894612,4,2
1666895564,1,3
1666896247,3,0
1666896970,3,4
1666897932,6,0
1666898649,2,5
1666899368,4,3
1666900368,5,2
1666901087,3,6
1666901803,4,0
1666902731,4,3
1666903446,6,2
1666904165,4,4
1666905133,6,4
1666905851,4,0
1666906566,2,5
1666907287,2,7
1666908046,2,1
1666909004,1,10
1666909965,3,0
1666910681,3,2
1666911403,1,2
1666912360,3,3
1666913047,2,3
1666914013,2,4
1666915010,2,16
1666915724,6,0
1666916653,4,6
1666917401,2,6
1666918336,4,2
1666919085,5,3
1666919800,0,6
1666920760,6,5
1666921723,6,3
1666922685,5,24
1666923399,6,6
1666924131,6,0
1666924843,3,2
1666925767,10,7
1666926760,9,4
1666927447,3,0
1666928169,3,7
1666928921,4,2
1666929853,2,4
1666930845,5,9
1666931559,1,0
1666932246,10,2
1666932967,1,3
1666933926,5,2
1666934684,3,2
1666935369,2,2
1666936090,2,0
1666937052,6,7
1666937766,2,1
1666938485,1,2
1666939208,5,4
1666939929,1,5
1666940650,3,0
1666941651,3,3
1666942608,3,10
1666943528,5,0
1666944247,3,2
1666944965,2,4
1666945723,4,0
1666946648,4,1
1666947365,2,0
1666948124,5,6
1666948840,1,2
1666949526,2,0
1666950246,2,1
1666951252,7,3
1666952208,2,0
1666952921,3,0
1666953854,3,5
1666954855,7,4
1666955525,0,5
1666956288,3,3
1666957006,2,3
1666957937,2,2
1666958686,3,2
1666959399,0,1
1666960085,1,3
1666960845,3,2
1666961813,3,1
1666962486,5,4
1666963243,1,7
1666963962,6,0
1666964925,6,1
1666965655,2,4
1666966571,2,3
1666967289,5,4
1666968254,1,1
1666968967,1,1
1666969967,4,0
1666970681,4,1
1666971368,2,4
1666972087,4,1
1666973090,7,2
1666974045,2,2
1666975005,5,1
1666975925,2,4
1666976645,5,0
1666977375,4,3
1666978086,3,1
1666978809,1,3
1666979528,1,2
1666980965,6,0
1666981933,5,5
1666982647,4,2
1666983609,4,4
1666984327,3,0
1666985293,3,3
1666986251,6,7
1666987211,3,5
1666988204,3,8
1666989172,4,4
1666989884,3,2
1666990611,2,4
1666991287,3,0
1666992285,3,8
1666993006,2,5
1666993964,1,0
1666994682,4,8
1666995366,3,0
1666996365,0,2
1666997081,1,3
1666997812,1,4
1666998760,8,0
1666999489,2,8
1667000170,5,0
1667001165,3,10
1667001883,3,7
1667002845,4,7
1667003560,2,4
1667004531,2,3
1667005245,6,9
1667006173,4,2
1667007167,6,15
1667007882,3,0
1667008608,1,13
1667009287,4,4
1667010247,8,8
1667010967,3,3
1667011965,6,5
1667012890,9,6
1667013611,5,3
1667014330,5,3
1667015082,6,2
1667015809,2,5
1667016729,4,3
1667017483,4,5
1667018204,1,3
1667019129,9,5
1667019849,3,6
1667020569,4,3
1667021531,3,4
1667022249,2,6
1667022965,6,5
1667023968,5,3
1667024693,1,0
1667025420,2,1
1667026134,1,1
1667026819,4,3
1667027529,2,0
1667028285,2,0
1667029011,5,5
1667029928,3,0
1667030684,0,3
1667031303,6,0
1667032085,1,4
1667033058,1,2
1667034008,0,6
1667034730,4,1
1667035448,0,9
1667036450,6,2
