DateTime,AddedIPs,RemovedIPs
1666639010,19,32
1666639737,30,27
1666640690,49,47
1666641403,11,262
1666642331,49,51
1666643052,58,50
1666643768,30,45
1666644486,271,39
1666645448,34,30
1666646165,23,23
1666647125,32,33
1666647886,32,40
1666648612,25,27
1666649322,35,40
1666650284,44,42
1666651014,30,57
1666651961,34,252
1666652682,242,19
1666653367,44,36
1666654090,25,28
1666655083,28,31
1666655805,44,25
1666656770,42,52
1666657450,22,32
1666658168,44,35
1666659132,24,32
1666659884,28,37
1666660600,22,21
1666661287,31,34
1666662006,22,229
1666662729,248,39
1666663447,25,30
1666664167,39,44
1666664889,30,20
1666665613,30,41
1666666566,23,25
1666667531,33,34
1666668284,32,35
1666669006,15,12
1666669930,21,25
1666670681,17,29
1666671401,29,22
1666672133,24,256
1666672842,254,26
1666673773,36,22
1666674730,22,32
1666675448,27,253
1666676168,39,38
1666677128,240,28
1666677852,12,14
1666678568,40,21
1666679529,22,30
1666680250,30,22
1666680967,32,256
1666681931,258,41
1666682652,24,16
1666683612,31,34
1666684365,41,30
1666685051,18,150
1666686008,153,30
1666686731,22,41
1666687486,31,230
1666688168,237,23
1666688887,25,27
1666689653,46,25
1666690325,27,26
1666691049,35,33
1666691770,30,235
1666692487,239,24
1666693487,32,22
1666694201,26,28
1666694891,30,35
1666695889,29,250
1666696600,235,17
1666697533,31,40
1666698280,31,29
1666699220,27,38
1666699926,32,29
1666700892,49,35
1666701881,45,31
1666702847,31,32
1666703560,38,46
1666704285,24,23
1666705010,40,39
1666705969,34,21
1666706687,22,18
1666707608,30,41
1666708604,29,279
1666709331,268,34
1666710282,31,266
1666710966,260,21
1666711690,34,42
1666712690,57,32
1666713400,16,260
1666714122,49,31
1666714806,231,37
1666715525,55,45
1666716249,27,268
1666716968,266,24
1666717688,28,267
1666718411,257,9
1666719404,22,278
1666720362,55,54
1666721047,282,21
1666721802,48,286
1666722531,219,27
1666723240,81,56
1666723925,24,32
1666724650,33,33
1666725370,43,53
1666726093,30,20
1666726850,42,32
1666727531,18,32
1666728251,32,22
1666728966,38,39
1666729927,30,263
1666730684,258,25
1666731413,23,267
1666732371,251,33
1666733080,51,29
1666734048,31,46
1666734729,22,34
1666735452,27,26
1666736168,39,39
1666737170,21,35
1666737880,34,32
1666738610,27,17
1666739532,25,40
1666740281,22,246
1666740967,263,35
1666741927,33,30
1666742648,51,44
1666743368,31,33
1666744364,49,30
1666745046,25,28
1666745766,24,264
1666746521,253,23
1666747243,20,16
1666748202,32,32
1666748923,25,257
1666749887,235,25
1666750566,30,272
1666751560,251,33
1666752250,30,23
1666752966,25,28
1666753724,42,38
