DateTime,AddedIPs,RemovedIPs
1666532886,2,1
1666533245,0,1
1666533964,1,2
1666535046,0,2
1666536125,0,5
1666536485,0,1
1666537924,2,3
1666538645,1,3
1666539365,1,0
1666540087,2,2
1666540445,1,0
1666542245,2,3
1666542963,0,2162
1666543686,2154,0
1666544044,1,1
1666545185,0,3
1666546207,2,8
1666546927,1,0
1666547644,1,2
1666548365,1,4
1666550166,3,11
1666551966,3,3
1666553045,4,1
1666554127,11,1
1666554844,1,2
1666555566,1,3
1666556285,0,2
1666557426,18,2
1666558445,0,2
1666559166,4,3
1666559885,268,1
1666560245,133,1
1666563126,352,40
1666563850,4,17
1666564565,12,42
1666564925,0,1
1666566726,3,103
1666567446,1,7
1666568166,1,27
1666568525,0,6
1666569246,3,5
1666570325,4,67
1666571407,1,353
1666572484,0,2269
1666573565,1202,0
1666574287,0,3
1666574646,2,2
1666575365,0,120
1666578606,39,7
1666579327,41,1
1666580046,14,0
1666581190,11,4
1666582207,1,4
1666583286,18,5
1666584366,2,5
1666586528,2,3
1666588325,2,7
1666589465,13,5
1666590486,11,2
1666590846,4,2
1666591565,4,3
1666593008,0,4
1666594085,3,1
1666595886,1,3
1666596606,2,5
1666597325,2,4
1666598045,2,2
1666600208,12,10
1666600926,4,0
1666603085,1,10
1666604526,3,7
1666605245,7,2
1666605965,0,3
1666606326,1,0
1666607765,1,2
1666610287,2,8
1666611007,0,2
1666612085,2,1
1666613525,9,2
1666614244,8,1
1666614965,1,2
1666616765,0,1185
1666617128,1195,0
1666618206,3,2
1666618925,0,3
1666620126,5,5
1666622165,15,10
1666624025,4,5
1666625765,16,5
1666626125,1,5
1666627565,0,3
1666629366,6,5
1666630085,2,0
1666631525,0,1204
1666633326,1213,0
1666634045,5,1
1666635489,2,2
1666636624,2,3
1666636925,1,0
1666638725,4,3
1666640526,13,4
1666641245,8,0
1666641965,7,3
1666642685,14,1
1666643045,14,0
1666644846,43,6
1666645565,7,3
1666647725,11,3
1666648925,12,3
1666649891,10,0
1666650247,5,1
1666652044,328,2
1666653002,2,13
1666653485,3,8
1666654206,1,14
1666654926,3,12
1666655645,8,10
1666656366,3,10
1666657807,8,19
1666658885,9,10
1666659245,0,1
1666659965,4,7
1666660325,2,2
1666661044,5,4
1666662487,2,2
1666663925,15,5
1666664644,8,2
1666665006,1,3
1666665726,5,2
1666666446,5,3
1666667165,3,2
1666667526,0,1
1666668247,2,1
1666669326,5,5
1666670045,1,1
1666671485,5,4
1666673645,4,7
1666674366,0,4
1666676165,3,6
1666677245,0,6
1666678384,3,5
1666679515,2,4
1666680485,1,1
1666680845,1,3
1666681565,1,4
1666681925,2,1
1666683007,2,10
1666684084,6,1
1666685165,1,2
1666686247,1,1
1666687326,4,4
1666688045,0,1
1666688765,2,4
1666689845,4,3
1666691285,2,9
1666692009,0,8
1666692724,2,1
1666693445,1,1
1666694526,2,8
1666695244,1,2
1666695965,1,2
1666696684,6,0
1666697408,7,6
1666698486,11,5
1666698845,2,0
1666700285,12,8
1666702085,9,9
1666703227,12,3
1666703905,8,2
1666705687,15,7
1666706765,3,3
1666707484,1,1
1666709645,4,3
1666710366,3,6
1666710725,1,0
1666711444,3,1
1666712526,2,5
1666713245,5,2
1666713966,9,2
1666714686,7,1
1666715406,2,4
1666716486,8,1
1666717927,6,6
1666718646,4,0
1666719727,2,9
1666720446,10,0
1666721890,12,3
1666722607,8,16
1666723325,17,1
1666724046,9,0
1666724766,6,2
1666725845,8,1
1666726565,7,3
1666727285,12,2
1666727645,7,0
1666728365,3,2
1666729086,2,0
1666730165,6,22
1666731366,8,2
1666732686,279,190
1666733766,11,386
1666734488,9,7
1666735211,23,1
1666735926,10,4
1666737006,9,15
1666738086,3,12
1666739166,1,11
1666740964,0,14
1666741685,3,6
1666743125,1,7
1666744206,9,6
1666744927,12,4
1666745647,13,2
1666746726,1,2
1666747444,1,1
1666748166,2,17
1666748885,0,5
1666750684,4,18
1666751045,3,1
1666752844,5,5
1666753979,1,7
1666755122,0,3
1666756445,1,1
1666757584,2,4
1666758725,0,16
1666758965,1,4
1666760045,1,3
1666761846,0,18
1666762567,4,3
1666764365,22,4
1666765085,18,2
1666766224,15,5
1666767245,16,3
1666768685,19,4
1666769405,2,6
1666770486,4,5
1666770844,1,0
1666771564,2,1
1666772291,7,2
1666773367,4,4
1666775526,14,9
1666776246,2,7
1666776965,1,4
1666777325,2,3
1666778526,6,1
1666779844,0,4
1666780207,0,2
1666780927,3,3
1666782724,3,9
1666784166,2,16
1666784885,0,1
1666786685,2,12
1666787766,1,4
1666788486,1,0
1666789566,1,3
1666790291,4,1
1666792085,27,11
1666792446,11,0
1666793165,16,0
1666793525,5,0
1666794246,7,1
1666794964,10,15
1666796765,26,2
1666797485,15,0
1666798207,12,7
1666798565,11,0
1666799285,5,1
1666799645,5,0
1666801806,15,19
1666802525,5,0
1666803245,7,0
1666805044,7,8
1666805766,3,4
1666806486,3,1
1666807566,7,5
1666808709,0,1486
1666809725,1488,0
1666810445,1,0
1666811165,4,18
1666812245,6,1
1666812965,13,21
1666813685,11,6
1666814766,19,18
1666815125,7,0
1666815846,6,2
1666817286,17,12
1666818426,8,9
1666819807,8,16
1666820525,3,7
1666822327,17,76
1666823045,0,1
1666823766,2,131
1666824487,1,1
1666826285,9,13
1666827006,1,8
1666827725,1,2
1666828086,4,0
1666829164,6,9
1666829526,1,0
1666830244,195,0
1666831685,8,11
1666833126,10,14
1666834266,7,18
1666834925,3,4
1666835646,2,7
1666836725,4,9
1666837807,4,14
1666838527,7,10
1666839243,4,0
1666840313,6,8
1666841406,6,8
1666842126,2,2
1666842845,1,3
1666845007,7,11
1666846085,2,2
1666846444,0,2
1666848244,2,7
1666848966,0,7
1666849685,2,2
1666851844,4,6
1666853284,2,7
1666854426,1,6
1666855085,1,1
1666855806,3,5
1666856526,1,1
1666857246,0,2
1666857965,2,1
1666859766,3,9
1666860845,4,3
1666861566,1,4
1666861925,9,0
1666863006,17,5
1666864086,4,3
1666865165,5,1
1666866244,2,1
1666866965,3,17
1666867684,1,1
1666869485,1,17
1666870566,3,19
1666871284,0,1
1666871646,0,1
1666872366,1,6
1666873086,1,2
1666873805,0,20
1666874886,7,6
1666876326,6,10
1666877046,8,1
1666878845,8,7
1666879210,1,1
1666881065,8,10
1666882445,7,3
1666883584,7,2
1666884724,2,10
1666885865,2,5
1666886409,3,7
1666887485,5,0
1666887845,4,0
1666889045,5,9
1666890185,3,13
1666890365,1,0
1666892165,16,24
1666893338,8,4
1666894465,4,20
1666895824,2,17
1666896845,4,1
1666897565,10,20
1666898286,1,0
1666899725,4,11
1666900446,2,1
1666902245,6,7
1666902965,82,14
1666904765,95,17
1666906565,7,188
1666907284,17,5
1666908425,4,23
1666909087,1,5
1666910164,2,9
1666910885,2,4
1666912685,4,13
1666913045,2,1
1666914245,7,24
1666915627,5,21
1666915925,1,1
1666917006,5,7
1666918085,2,1
1666918445,1,1
1666919165,0,5
1666919884,3,1
1666920965,9,14
1666922044,4,4
1666922765,1,1
1666924925,7,4
1666925644,2,2
1666927448,6,7
1666928165,1,6
1666928886,0,1
1666930325,1,2
1666931046,1,1
1666931766,0,6
1666932486,1,2
1666933984,2,13
1666935125,1,29
1666935365,1,5
1666936446,0,7
1666937167,1,19
1666938965,2,16
1666939685,4,0
1666940408,2,2
1666941486,2,2
1666941846,3,1
1666942925,7,14
1666943645,12,2
1666944727,5,6
1666945865,2,14
1666947005,7,5
1666947965,8,8
1666949045,7,1
1666949767,13,3
1666950486,7,7
1666951565,8,5
1666951925,3,0
1666953365,9,4
1666954087,7,3
1666955165,3,2
1666956606,1,2
1666957687,1,2
1666958825,5,3
1666960565,9,18
1666961286,5,0
1666962365,3,26
1666963507,4,2
1666964525,5,25
1666965245,1,0
1666966325,7,18
1666967044,2,0
1666968126,4,45
1666968845,1,0
1666971006,10,27
1666972445,4,5
1666974245,11,16
1666975325,9,7
1666976045,3,0
1666977184,5,8
1666977844,4,1
1666978925,7,5
1666980124,9,6
1666980729,0,1
1666981807,3,7
1666982526,1,8
1666984686,4,27
1666985044,2,1
1666985766,2,26
1666986484,2,3
1666987565,2,13
1666988286,2,0
1666988646,2,0
1666990809,9,31
1666991525,2,0
1666992245,1,0
1666993325,5,6
1666994046,2,0
1666994766,2,2
1666995847,1,1
1666997285,1,9
1666998365,3,4
1666999445,1,1
1667000166,2,9
1667001245,2,2
1667002687,31,18
1667003765,6,70
1667004845,8,1
1667005925,2,5
1667007006,7,3
1667008086,7,2
1667008446,1,0
1667010606,7,13
1667011327,1,1
1667013214,0,4
1667014566,3,5
1667014926,0,1
1667015645,3,0
1667017805,7,3
1667018885,2,0
1667019609,0,3
1667021045,3,0
1667021766,0,7
1667022845,0,2
1667024286,6,4
1667025007,1,8
1667025727,5,1
1667026444,7,1
1667028606,12,7
1667028965,0,1
1667031208,7,9
1667032208,2,11
1667033286,6,2
1667033645,1,0
1667035445,4,5
1667036166,1,13
1667038686,1,2
