DateTime,AddedIPs,RemovedIPs
1666539362,13,75
1666540083,24,0
1666540442,9,0
1666541523,32,46
1666542243,27,0
1666542962,19,59
1666543683,29,0
1666544042,8,0
1666545182,66,52
1666546923,68,73
1666547642,17,0
1666548362,25,41
1666550163,74,70
1666552322,79,32
1666553042,46,1
1666554123,39,90
1666554842,22,0
1666555562,23,36
1666556282,20,0
1666557422,58,78
1666558082,26,0
1666558442,9,0
1666559522,120,155
1666560242,77,0
1666562052,88,93
1666563122,57,44
1666563842,15,0
1666564563,31,89
1666564922,11,0
1666566723,67,133
1666567442,35,0
1666568163,25,67
1666568522,7,8
1666569243,26,0
1666570322,41,85
1666571403,26,386
1666572483,26,205
1666573562,26,938
1666574643,27,0
1666575363,19,176
1666576083,12,8
1666576443,11,0
1666577522,55,39
1666578603,49,40
1666579324,52,2
1666580042,26,0
1666581142,37,67
1666581842,20,0
1666582204,5,52
1666583283,63,18
1666584363,24,27
1666584722,6,0
1666586524,42,39
1666588323,28,42
1666589462,30,39
1666590483,34,16
1666590842,9,0
1666591562,34,45
1666593005,52,53
1666594082,32,0
1666594442,10,0
1666595882,35,39
1666596603,14,44
1666598043,66,22
1666599491,36,22
1666600563,30,39
1666601282,21,0
1666603082,35,51
1666604523,205,52
1666605242,48,0
1666606324,142,36
1666607762,130,59
1666608483,77,0
1666610283,144,43
1666611362,62,53
1666612082,48,3
1666613523,79,45
1666614242,45,1
1666614962,58,67
1666617125,121,35
1666618203,56,41
1666618923,36,15
1666620122,76,27
1666621442,80,1
1666622163,47,70
1666622882,27,0
1666624022,44,57
1666625042,55,0
1666625762,43,45
1666626122,20,9
1666627563,49,24
1666629362,70,49
1666630082,46,0
1666631523,66,44
1666633322,105,81
1666634042,74,0
1666635482,94,22
1666636621,59,59
1666636922,18,0
1666638723,114,64
1666640523,78,67
1666641243,36,0
1666642682,69,34
1666643043,33,0
1666644842,136,52
1666645562,30,46
1666647723,89,67
1666648922,74,33
1666649883,56,0
1666650243,16,0
1666652042,104,41
1666653122,39,59
1666653483,11,0
1666654203,53,38
1666654923,45,20
1666655643,35,0
1666656362,49,41
1666657803,77,70
1666658882,70,26
1666659242,11,0
1666660322,48,59
1666661042,24,0
1666662484,52,50
1666663923,92,38
1666664641,44,0
1666665003,11,57
1666666082,38,8
1666666443,12,0
1666667522,43,36
1666668242,32,0
1666669323,63,54
1666670042,18,0
1666671122,38,48
1666671482,12,0
1666672562,24,42
1666673643,59,0
1666674363,103,40
1666676163,52,41
1666677242,37,3
1666678382,35,23
1666679513,41,31
1666680483,44,11
1666680842,11,0
1666681922,23,26
1666683004,30,68
1666684082,35,24
1666685162,40,36
1666686242,33,1
1666688042,49,57
1666688763,15,34
1666689843,50,1
1666691282,43,71
1666692006,29,36
1666692722,17,0
1666693442,13,0
1666694523,37,38
1666695242,26,0
1666695963,23,27
1666697043,38,0
1666697762,25,91
1666698482,52,10
1666698842,14,0
1666700282,51,32
1666701362,40,55
1666702083,26,0
1666703223,49,38
1666703894,45,0
1666704963,36,72
1666705683,28,6
1666706042,9,0
1666706762,29,24
1666707482,29,1
1666708562,68,46
1666709643,41,0
1666710722,39,37
1666711442,21,0
1666712523,35,65
1666713243,21,0
1666713962,30,64
1666714683,31,0
1666716123,74,74
1666716483,15,1
1666717923,41,56
1666718643,18,0
1666719724,30,75
1666720442,33,1
1666721522,43,9865
1666721883,9876,0
1666722603,32,85
1666723322,34,10
1666724764,62,45
1666725843,51,0
1666726562,48,44
1666727283,31,12
1666727642,16,0
1666728722,42,42
1666729083,18,0
1666730163,40,60
1666731363,46,0
1666732683,102,224
1666733763,56,447
1666734484,21,10
1666735208,30,42
1666735922,34,0
1666737003,35,60
1666738082,30,14396
1666739162,14396,20
1666740962,78,54
1666741682,24,3
1666743842,65,26
1666744203,38,56
1666744924,45,15
1666745643,26,0
1666746723,42,55
1666747442,14,0
1666748163,51,73
1666748882,22,11
1666751042,67,42
1666752842,54,88
1666753995,56,41
1666755122,39,37
1666756082,30,11
1666756443,6,0
1666757582,24,26
1666758963,63,52
1666760042,32,0
1666761122,0,21291
1666761843,21277,0
