DateTime,AddedIPs,RemovedIPs
1666535045,5,0
1666536124,18,42
1666536483,1,2
1666537923,25,26
1666538644,12,3
1666539363,8,29
1666540086,16,2
1666540443,7,2
1666541524,26,19
1666542244,20,1
1666543684,32,37
1666544043,5,0
1666545183,33,34
1666546205,29,19
1666546926,26,8
1666547643,12,1
1666548363,17,18
1666550165,51,34
1666553044,65,21
1666554125,14,37
1666554843,14,2
1666555565,14,16
1666556284,14,1
1666557424,29,65
1666558443,25,2
1666559524,10,103
1666560244,11,132
1666562068,23,338
1666563124,50,21
1666563847,25,4
1666564564,18,36
1666564924,9,1
1666566724,62,22
1666567444,16,3
1666568165,20,21
1666568524,11,3
1666569244,15,4
1666570324,29,17
1666571406,23,29
1666572844,29,15
1666573563,26,45
1666574645,23,3
1666575364,15,40
1666576086,9,13
1666576445,5,1
1666577885,32,24
1666578605,13,31
1666579326,11,12
1666580044,10,3
1666581160,21,32
1666581845,12,8
1666582206,3,27
1666583284,21,15
1666584365,17,24
1666584725,3,0
1666586526,24,34
1666588324,22,27
1666589464,20,26
1666590485,22,7
1666590844,5,1
1666591563,25,17
1666593007,28,42
1666594084,23,2
1666594443,9,0
1666595885,29,27
1666596605,7,26
1666597324,19,10
1666598044,18,3
1666600206,37,43
1666600924,16,12
1666601284,4,0
1666603084,29,17
1666604525,199,27
1666605244,36,0
1666605963,79,17
1666606325,41,0
1666607764,109,44
1666608484,69,1
1666610285,132,22
1666612084,99,36
1666613524,64,16
1666614243,37,2
1666614963,32,38
1666616764,77,23
1666617126,12,3
1666618204,44,25
1666618924,32,15
1666620124,56,14
1666621444,47,7
1666622164,34,41
1666622883,23,7
1666624024,31,16
1666625043,33,1
1666625764,28,24
1666626124,14,3
1666627564,25,20
1666629363,43,26
1666630083,36,4
1666631524,48,20
1666633325,59,44
1666634044,43,2
1666635486,42,24
1666636623,36,30
1666636924,12,0
1666638724,55,34
1666640524,38,45
1666641244,19,5
1666641963,18,20
1666643044,34,6
1666644845,54,44
1666645564,23,24
1666647724,48,39
1666648923,31,25
1666649889,28,4
1666650246,8,1
1666652043,32,274
1666653123,40,21
1666653484,10,1
1666654205,28,22
1666654925,38,12
1666655644,29,2
1666656364,47,26
1666657805,64,41
1666658884,31,18
1666659243,11,1
1666660324,34,26
1666661043,21,1
1666662486,35,28
1666663924,32,22
1666664642,20,1
1666665005,8,26
1666666445,29,8
1666667525,28,24
1666668246,9,5
1666669324,27,27
1666670044,14,3
1666671484,35,20
1666673644,36,186
1666674364,17,409
1666676164,72,36
1666677243,45,2
1666678383,48,18
1666679514,46,19
1666680484,34,11
1666680843,12,2
1666681564,24,16
1666681924,14,1
1666683006,33,31
1666684083,31,16
1666685163,35,20
1666686245,46,4
1666687325,26,33
1666688044,21,1
1666688764,22,16
1666689844,25,7
1666691284,35,25
1666692008,19,20
1666692723,19,2
1666693444,21,2
1666694524,32,20
1666695243,17,3
1666695964,22,19
1666697406,31,27
1666698484,29,17
1666698843,6,2
1666700284,25,16
1666702084,38,36
1666703225,25,24
1666703904,14,1
1666704964,23,29
1666705686,19,8
1666706043,8,1
1666706763,21,8
1666707483,17,6
1666709644,49,43
1666710364,9,28
1666710724,11,1
1666711443,11,4
1666712525,32,42
1666713244,15,4
1666713965,20,27
1666714685,12,3
1666715404,13,33
1666716484,27,12
1666717926,15,29
1666718644,9,4
1666719725,19,46
1666720444,15,6
1666721888,45,23
1666722606,16,50
1666723323,13,9
1666724045,11,2
1666724765,13,30
1666725844,28,6
1666726564,9,25
1666727284,16,11
1666727643,4,1
1666728724,18,20
1666729085,13,4
1666730164,24,27
1666731365,20,5
1666732684,34,228
1666733764,28,46
1666734486,13,14
1666735210,5,37
1666735924,21,5
1666737004,34,39
1666738084,38,7
1666739165,27,22
1666740963,45,35
1666741683,18,7
1666743844,44,22
1666744205,13,28
1666744926,16,5
1666745646,16,4
1666746724,29,29
1666747443,6,1
1666748164,15,38
1666748884,14,9
1666751044,31,28
1666752843,27,47
1666753948,20,20
1666755063,26,29
1666756444,21,11
1666757583,17,16
1666758724,22,32
1666758964,1,5
1666760044,19,2
1666761484,22,25
1666762206,21,24
1666762925,17,17
1666764364,23,30
1666765084,13,0
1666766223,21,38
1666766883,20,2
1666767243,7,1
1666768684,34,29
1666769404,18,31
1666770485,21,22
1666770843,4,1
1666771563,14,21
1666772288,23,1
1666773365,23,54
1666774086,12,4
1666775524,36,46
1666776244,11,5
1666776963,16,47
1666777324,11,12
1666778524,15,37
1666779843,19,5
1666780205,7,31
1666780926,16,9
1666782723,32,33
1666783084,10,1
1666784165,19,49
1666784884,17,10
1666786684,48,24
1666787765,15,46
1666788484,15,3
1666789563,23,26
1666790289,16,4
1666792084,46,41
1666792444,1,2
1666793523,19,22
1666794244,17,7
1666794963,6,55
1666796764,28,42
1666798206,27,29
1666799644,20,15
1666801804,32,51
1666802524,9,8
1666803244,14,1
1666805043,37,62
1666805765,18,44
1666806485,12,7
1666807564,17,34
1666808706,29,3
1666809724,17,43
1666810444,16,5
1666811164,16,38
1666812243,22,9
1666812963,11,44
1666813684,15,4
1666814765,19,30
1666815844,22,5
1666816925,16,48
1666817285,3,0
1666818424,21,37
1666820524,49,51
1666822326,43,36
1666823044,8,4
1666823765,19,49
1666824485,16,1
1666826284,35,55
1666827005,16,57
1666827724,13,7
1666828085,7,3
1666829163,13,35
1666830243,22,137
1666831684,19,48
1666833123,35,39
1666834265,38,35
1666835645,35,18
1666836724,23,27
1666837805,26,34
1666838526,13,5
1666839242,14,8
1666840312,21,39
1666841404,29,32
1666842124,17,12
1666842843,16,6
1666843925,22,27
1666845005,22,43
1666846084,18,3
1666846443,6,1
1666848243,51,31
1666848965,20,39
1666849684,13,6
1666851843,30,35
1666853283,33,38
1666854424,24,23
1666855083,11,4
1666855804,22,32
1666856525,11,8
1666857245,22,3
1666857963,14,21
1666859764,33,36
1666860844,22,2
1666861923,16,31
1666863004,22,29
1666864085,22,18
1666865164,12,38
1666866243,18,14
1666866963,16,45
1666867683,14,5
1666869484,35,29
1666870563,16,27
1666871283,14,8
1666871644,10,0
1666873085,20,24
1666873804,13,24
1666874885,35,10
1666877045,82,28
1666878844,24,30
1666879924,14,16
1666881063,23,40
1666882443,22,4
1666883583,26,35
1666884723,26,30
1666885863,48,19
1666887484,29,21
1666887843,4,3
1666889043,29,23
1666890184,25,27
1666890363,4,0
1666892164,47,38
1666893337,26,8
1666894462,19,20
1666894689,7,0
1666895823,13,32
1666896843,14,3
1666897564,15,27
1666898284,12,3
1666899724,22,41
1666900445,20,5
1666902243,45,24
1666902963,15,84
1666904763,38,91
1666906564,41,48
1666907283,18,18
1666908424,40,23
1666910163,54,45
1666910884,14,5
1666912684,45,32
1666913043,9,1
1666914243,31,41
1666914484,2,0
1666915625,23,18
1666915924,8,3
1666917005,25,32
1666918083,28,11
1666918444,4,3
1666919164,16,20
1666919883,21,5
1666920964,23,29
1666922043,17,12
1666923124,10,24
1666925283,48,47
1666925643,7,2
1666927446,35,39
1666928163,14,29
1666928885,14,11
1666930323,27,31
1666931045,14,5
1666931764,8,33
1666932483,16,5
1666932844,3,1
1666933983,17,27
1666935364,25,32
1666936445,19,5
1666937166,9,34
1666938964,27,49
1666939683,13,4
1666940407,15,30
1666941484,30,4
1666941845,4,1
1666942924,28,58
1666943644,15,3
1666944726,18,35
1666945864,25,31
1666947004,24,18
1666947964,14,30
1666949044,23,5
1666949766,17,32
1666950485,16,6
1666951563,27,32
1666951924,6,5
1666953364,23,33
1666954086,8,4
1666955163,16,28
1666955884,4,8
1666956963,3,5497
1666957684,5472,3
1666958824,21,20
1666960563,34,43
1666961285,18,4
1666962363,22,28
1666963505,32,6
1666964524,19,49
1666965244,17,3
1666966324,21,22
1666967043,19,1
1666968125,18,27
1666968843,17,2
1666969923,23,28
1666971004,19,25
1666972444,27,11
1666973523,22,26
1666974243,8,4
1666975324,16,51
1666976043,10,2
1666977183,18,25
