DateTime,Entries,UniqueIPs
1666535045,7310,7310
1666536124,7286,7286
1666536483,7285,7285
1666537923,7284,7284
1666538644,7293,7293
1666539363,7272,7272
1666540086,7286,7286
1666540443,7291,7291
1666541524,7298,7298
1666542244,7317,7317
1666543684,7312,7312
1666544043,7317,7317
1666545183,7316,7316
1666546205,7326,7326
1666546926,7344,7344
1666547643,7355,7355
1666548363,7354,7354
1666550165,7371,7371
1666553044,7415,7415
1666554125,7392,7392
1666554843,7404,7404
1666555565,7402,7402
1666556284,7415,7415
1666557424,7379,7379
1666558443,7402,7402
1666559524,7309,7309
1666560244,7188,7188
1666562068,6873,6873
1666563124,6902,6902
1666563847,6923,6923
1666564564,6905,6905
1666564924,6913,6913
1666566724,6953,6953
1666567444,6966,6966
1666568165,6965,6965
1666568524,6973,6973
1666569244,6984,6984
1666570324,6996,6996
1666571406,6990,6990
1666572844,7004,7004
1666573563,6985,6985
1666574645,7005,7005
1666575364,6980,6980
1666576086,6976,6976
1666576445,6980,6980
1666577885,6988,6988
1666578605,6970,6970
1666579326,6969,6969
1666580044,6976,6976
1666581160,6965,6965
1666581845,6969,6969
1666582206,6945,6945
1666583284,6951,6951
1666584365,6944,6944
1666584725,6947,6947
1666586526,6937,6937
1666588324,6932,6932
1666589464,6926,6926
1666590485,6941,6941
1666590844,6945,6945
1666591563,6953,6953
1666593007,6939,6939
1666594084,6960,6960
1666594443,6969,6969
1666595885,6971,6971
1666596605,6952,6952
1666597324,6961,6961
1666598044,6976,6976
1666600206,6970,6970
1666600924,6974,6974
1666601284,6978,6978
1666603084,6990,6990
1666604525,7162,7162
1666605244,7198,7198
1666605963,7260,7260
1666606325,7301,7301
1666607764,7366,7366
1666608484,7434,7434
1666610285,7544,7544
1666612084,7607,7607
1666613524,7655,7655
1666614243,7690,7690
1666614963,7684,7684
1666616764,7738,7738
1666617126,7747,7747
1666618204,7766,7766
1666618924,7783,7783
1666620124,7825,7825
1666621444,7865,7865
1666622164,7858,7858
1666622883,7874,7874
1666624024,7889,7889
1666625043,7921,7921
1666625764,7925,7925
1666626124,7936,7936
1666627564,7941,7941
1666629363,7958,7958
1666630083,7990,7990
1666631524,8018,8018
1666633325,8033,8033
1666634044,8074,8074
1666635486,8092,8092
1666636623,8098,8098
1666636924,8110,8110
1666638724,8131,8131
1666640524,8124,8124
1666641244,8138,8138
1666641963,8136,8136
1666643044,8164,8164
1666644845,8174,8174
1666645564,8173,8173
1666647724,8182,8182
1666648923,8188,8188
1666649889,8212,8212
1666650246,8219,8219
1666652043,7977,7977
1666653123,7996,7996
1666653484,8005,8005
1666654205,8011,8011
1666654925,8037,8037
1666655644,8064,8064
1666656364,8085,8085
1666657805,8108,8108
1666658884,8121,8121
1666659243,8131,8131
1666660324,8139,8139
1666661043,8159,8159
1666662486,8166,8166
1666663924,8176,8176
1666664642,8195,8195
1666665005,8177,8177
1666666445,8198,8198
1666667525,8202,8202
1666668246,8206,8206
1666669324,8206,8206
1666670044,8217,8217
1666671484,8232,8232
1666673644,8082,8082
1666674364,7690,7690
1666676164,7726,7726
1666677243,7769,7769
1666678383,7799,7799
1666679514,7826,7826
1666680484,7849,7849
1666680843,7859,7859
1666681564,7867,7867
1666681924,7880,7880
1666683006,7882,7882
1666684083,7897,7897
1666685163,7912,7912
1666686245,7954,7954
1666687325,7947,7947
1666688044,7967,7967
1666688764,7973,7973
1666689844,7991,7991
1666691284,8001,8001
1666692008,8000,8000
1666692723,8017,8017
1666693444,8036,8036
1666694524,8048,8048
1666695243,8062,8062
1666695964,8065,8065
1666697406,8069,8069
1666698484,8081,8081
1666698843,8085,8085
1666700284,8094,8094
1666702084,8096,8096
1666703225,8097,8097
1666703904,8110,8110
1666704964,8104,8104
1666705686,8115,8115
1666706043,8122,8122
1666706763,8135,8135
1666707483,8146,8146
1666709644,8152,8152
1666710364,8133,8133
1666710724,8143,8143
1666711443,8150,8150
1666712525,8140,8140
1666713244,8151,8151
1666713965,8144,8144
1666714685,8153,8153
1666715404,8133,8133
1666716484,8148,8148
1666717926,8134,8134
1666718644,8139,8139
1666719725,8112,8112
1666720444,8121,8121
1666721888,8143,8143
1666722606,8109,8109
1666723323,8113,8113
1666724045,8122,8122
1666724765,8105,8105
1666725844,8127,8127
1666726564,8111,8111
1666727284,8116,8116
1666727643,8119,8119
1666728724,8117,8117
1666729085,8126,8126
1666730164,8123,8123
1666731365,8138,8138
1666732684,7944,7944
1666733764,7926,7926
1666734486,7925,7925
1666735210,7893,7893
1666735924,7909,7909
1666737004,7904,7904
1666738084,7935,7935
1666739165,7940,7940
1666740963,7950,7950
1666741683,7961,7961
1666743844,7983,7983
1666744205,7968,7968
1666744926,7979,7979
1666745646,7991,7991
1666746724,7991,7991
1666747443,7996,7996
1666748164,7973,7973
1666748884,7978,7978
1666751044,7981,7981
1666752843,7961,7961
1666753948,7961,7961
1666755063,7958,7958
1666756444,7968,7968
1666757583,7969,7969
1666758724,7959,7959
1666758964,7955,7955
1666760044,7972,7972
1666761484,7969,7969
1666762206,7966,7966
1666762925,7966,7966
1666764364,7959,7959
1666765084,7972,7972
1666766223,7955,7955
1666766883,7973,7973
1666767243,7979,7979
1666768684,7984,7984
1666769404,7971,7971
1666770485,7970,7970
1666770843,7973,7973
1666771563,7966,7966
1666772288,7988,7988
1666773365,7957,7957
1666774086,7965,7965
1666775524,7955,7955
1666776244,7961,7961
1666776963,7930,7930
1666777324,7929,7929
1666778524,7907,7907
1666779843,7921,7921
1666780205,7897,7897
1666780926,7904,7904
1666782723,7903,7903
1666783084,7912,7912
1666784165,7882,7882
1666784884,7889,7889
1666786684,7913,7913
1666787765,7882,7882
1666788484,7894,7894
1666789563,7891,7891
1666790289,7903,7903
1666792084,7908,7908
1666792444,7907,7907
1666793523,7904,7904
1666794244,7914,7914
1666794963,7865,7865
1666796764,7851,7851
1666798206,7849,7849
1666799644,7854,7854
1666801804,7835,7835
1666802524,7836,7836
1666803244,7849,7849
1666805043,7824,7824
1666805765,7798,7798
1666806485,7803,7803
1666807564,7786,7786
1666808706,7812,7812
1666809724,7786,7786
1666810444,7797,7797
1666811164,7775,7775
1666812243,7788,7788
1666812963,7755,7755
1666813684,7766,7766
1666814765,7755,7755
1666815844,7772,7772
1666816925,7740,7740
1666817285,7743,7743
1666818424,7727,7727
1666820524,7725,7725
1666822326,7732,7732
1666823044,7736,7736
1666823765,7706,7706
1666824485,7721,7721
1666826284,7701,7701
1666827005,7660,7660
1666827724,7666,7666
1666828085,7670,7670
1666829163,7648,7648
1666830243,7533,7533
1666831684,7504,7504
1666833123,7500,7500
1666834265,7503,7503
1666835645,7520,7520
1666836724,7516,7516
1666837805,7508,7508
1666838526,7516,7516
1666839242,7522,7522
1666840312,7504,7504
1666841404,7501,7501
1666842124,7506,7506
1666842843,7516,7516
1666843925,7511,7511
1666845005,7490,7490
1666846084,7505,7505
1666846443,7510,7510
1666848243,7530,7530
1666848965,7511,7511
1666849684,7518,7518
1666851843,7513,7513
1666853283,7508,7508
1666854424,7509,7509
1666855083,7516,7516
1666855804,7506,7506
1666856525,7509,7509
1666857245,7528,7528
1666857963,7521,7521
1666859764,7518,7518
1666860844,7538,7538
1666861923,7523,7523
1666863004,7516,7516
1666864085,7520,7520
1666865164,7494,7494
1666866243,7498,7498
1666866963,7469,7469
1666867683,7478,7478
1666869484,7484,7484
1666870563,7473,7473
1666871283,7479,7479
1666871644,7489,7489
1666873085,7485,7485
1666873804,7474,7474
1666874885,7499,7499
1666877045,7553,7553
1666878844,7547,7547
1666879924,7545,7545
1666881063,7528,7528
1666882443,7546,7546
1666883583,7537,7537
1666884723,7533,7533
1666885863,7562,7562
1666887484,7570,7570
1666887843,7571,7571
1666889043,7577,7577
1666890184,7575,7575
1666890363,7579,7579
1666892164,7588,7588
1666893337,7606,7606
1666894462,7605,7605
1666894689,7612,7612
1666895823,7593,7593
1666896843,7604,7604
1666897564,7592,7592
1666898284,7601,7601
1666899724,7582,7582
1666900445,7597,7597
1666902243,7618,7618
1666902963,7549,7549
1666904763,7496,7496
1666906564,7489,7489
1666907283,7489,7489
1666908424,7506,7506
1666910163,7515,7515
1666910884,7524,7524
1666912684,7537,7537
1666913043,7545,7545
1666914243,7535,7535
1666914484,7537,7537
1666915625,7542,7542
1666915924,7547,7547
1666917005,7540,7540
1666918083,7557,7557
1666918444,7558,7558
1666919164,7554,7554
1666919883,7570,7570
1666920964,7564,7564
1666922043,7569,7569
1666923124,7555,7555
1666925283,7556,7556
1666925643,7561,7561
1666927446,7557,7557
1666928163,7542,7542
1666928885,7545,7545
1666930323,7541,7541
1666931045,7550,7550
1666931764,7525,7525
1666932483,7536,7536
1666932844,7538,7538
1666933983,7528,7528
1666935364,7521,7521
1666936445,7535,7535
1666937166,7510,7510
1666938964,7488,7488
1666939683,7497,7497
1666940407,7482,7482
1666941484,7508,7508
1666941845,7511,7511
1666942924,7481,7481
1666943644,7493,7493
1666944726,7476,7476
1666945864,7470,7470
1666947004,7476,7476
1666947964,7460,7460
1666949044,7478,7478
1666949766,7463,7463
1666950485,7473,7473
1666951563,7468,7468
1666951924,7469,7469
1666953364,7459,7459
1666954086,7463,7463
1666955163,7451,7451
1666955884,7447,7447
1666956963,1953,1953
1666957684,7422,7422
1666958824,7423,7423
1666960563,7414,7414
1666961285,7428,7428
1666962363,7422,7422
1666963505,7448,7448
1666964524,7418,7418
1666965244,7432,7432
1666966324,7431,7431
1666967043,7449,7449
1666968125,7440,7440
1666968843,7455,7455
1666969923,7450,7450
1666971004,7444,7444
1666972444,7460,7460
1666973523,7456,7456
1666974243,7460,7460
1666975324,7425,7425
1666976043,7433,7433
1666977183,7426,7426
1666977843,7432,7432
1666978924,7401,7401
1666980123,7396,7396
1666980728,7399,7399
1666981806,7375,7375
1666982525,7379,7379
1666984685,7382,7382
1666986483,7377,7377
1666987564,7375,7375
1666988284,7384,7384
1666988645,7389,7389
1666990808,7346,7346
1666991524,7361,7361
1666992244,7375,7375
1666993324,7354,7354
1666994044,7366,7366
1666995125,7359,7359
1666995845,7369,7369
1666997284,7347,7347
1666998364,7353,7353
1666999443,7370,7370
1667000165,7343,7343
1667001243,7347,7347
1667002685,7353,7353
1667003763,7330,7330
1667004843,7344,7344
1667005923,7321,7321
1667007005,7304,7304
1667008085,7312,7312
1667008445,7317,7317
1667010605,7298,7298
1667011326,7299,7299
1667012045,7308,7308
1667013167,7299,7299
1667013843,7307,7307
1667014564,7284,7284
1667014925,7287,7287
1667015644,7294,7294
1667017804,7264,7264
1667018884,7275,7275
1667019608,7266,7266
1667021044,7278,7278
1667021764,7265,7265
1667024283,7267,7267
1667025005,7255,7255
1667026084,7264,7264
1667026443,7273,7273
1667027523,6170,6170
1667028604,7268,7268
1667028964,7265,7265
1667030765,7268,7268
1667031164,7269,7269
1667032926,7263,7263
1667033643,7279,7279
1667035083,7268,7268
1667036165,7243,7243
1667036884,7256,7256
1667039044,7275,7275
