DateTime,AddedIPs,RemovedIPs
1665099368,1,1
1665100086,0,1
1665104766,0,1
1665108367,0,1
1665117067,0,1
1665120967,1,0
1665123486,0,1
1665125286,1,0
1665129971,0,1
1665132488,0,2
1665133567,0,2
1665142208,0,1
1665146170,0,1
1665149047,1,0
1665156248,3,0
1665163446,17,0
1665170286,1,0
1665172447,0,1
1665172812,1,0
1665174967,0,1
1665184691,1,0
1665195488,0,1
1665196928,0,1
1665199090,0,1
1665202687,1,0
1665204128,0,1
1665207366,0,1
1665209529,0,1
1665213486,0,1
1665215699,1,0
1665218889,0,1
1665231848,1,0
1665232566,0,1
1665236527,0,2
1665237247,1,0
1665239410,0,1
1665244810,1,0
1665247326,0,1
1665255966,0,1
1665262088,0,1
1665272947,1,0
1665295567,0,1
1665300608,0,1
1665301326,1,0
1665304567,1,0
1665306367,0,1
1665309968,0,2
1665311766,0,1
1665316088,0,1
1665325808,0,3
1665332288,1,0
1665333846,0,2
1665336609,2,0
1665338768,0,1
1665347407,0,2
1665349326,1,0
1665351368,5,2
1665352088,2,0
1665355689,2,0
1665356767,0,1
1665359288,1,0
1665360367,1,0
1665365835,1,0
1665368585,1,0
1665369783,0,1
1665371166,0,1
1665372611,0,1
1665377287,0,2
1665379086,1,3
1665380527,0,7
1665381966,7,0
1665387009,0,1
1665395288,1,0
1665397087,8,0
1665397810,4,0
1665398529,2,0
1665398887,1,0
1665400328,6,0
1665401408,2,1
1665402128,1,0
1665402487,1,0
1665404287,9,0
1665405368,1,0
1665406087,1,0
1665407167,1,0
1665408966,1,0
1665411848,2,1
1665412927,2,0
1665415447,2,0
1665419047,1,0
1665420487,1,0
1665421567,1,0
1665424446,2,0
1665428045,1,0
1665432012,0,1
1665433811,1,0
1665441009,1,1
1665444609,1,0
1665447488,0,2
1665448928,1,0
1665453967,0,1
1665457568,1,0
1665458648,1,0
1665463328,1,1
1665467287,0,1
1665470167,1,0
1665471246,1,0
1665471968,1,0
1665474127,1,0
1665477726,1,0
1665479167,1,0
1665494293,1,0
1665499688,3,0
1665501125,2,0
1665510142,0,1
1665513367,0,1
1665518048,1,0
1665520207,0,1
1665531008,0,2
1665534667,0,1
1665538626,0,2
1665542166,0,1
1665544725,1,0
1665545405,1,0
1665547566,1,1
1665549009,0,1
1665551528,0,1
1665552967,0,3
1665559809,0,1
1665563767,0,1
1665567367,0,1
1665570968,0,1
1665574207,0,1
1665577809,0,1
1665578886,1,0
1665579967,0,2
1665582847,0,1
1665585727,1,0
1665592208,0,1
1665598329,1,0
1665601569,0,2
1665605886,0,1
1665606966,1,0
1665608767,1,1
1665612126,1,4
1665614528,0,3
1665615968,0,1
1665618846,1,0
1665620647,1,1
1665624609,1,0
1665628927,1,0
1665630367,0,2
1665635767,0,1
1665636488,1,0
1665643328,0,1
1665646210,0,1
1665652688,3,0
1665657009,0,1
1665662048,1,1
1665663187,0,1
1665664566,0,1
1665666368,0,2
1665667807,0,2
1665670327,0,2
1665671408,0,1
1665678609,0,1
1665679687,1,0
1665681846,1,0
1665690127,0,1
1665692287,0,1
1665697328,0,1
1665698046,1,0
1665704586,0,3
1665707468,0,1
1665712447,1,0
1665713167,0,1
1665715688,0,4
1665717218,0,1
1665718324,0,1
1665726488,0,1
1665729367,0,1
1665730927,0,1
1665733327,1,0
1665738426,0,1
1665744128,3,0
1665745987,2,0
1665749167,1,0
1665754209,2,0
1665755648,0,1
1665770046,1,1
1665773287,1,1
1665774012,1,1
1665780846,3,0
1665782648,2,0
1665783366,0,1
1665788769,0,1
1665789487,1,0
1665791648,0,3
1665793809,0,1
1665797046,1,0
1665798486,0,1
1665803925,1,0
1665806046,0,1
1665813967,0,2
1665818287,1,0
1665821626,2,0
1665822968,0,2
1665823687,1,0
1665825126,0,1
1665826207,0,1
1665827648,0,1
1665839633,0,1
1665842766,0,1
1665848887,1,1
1665853927,1,0
1665856087,1,0
1665856447,1,0
1665858966,0,1
1665863343,1,0
1665866527,1,0
1665869107,1,0
1665870846,1,0
1665873728,1,0
1665874926,0,1
1665882367,0,1
1665888127,0,1
1665889566,0,1
1665891367,0,2
1665893169,1,0
1665896767,1,0
1665901808,0,1
1665909008,0,2
1665915126,1,0
1665916266,1,0
1665927009,2,0
1665929167,0,1
1665930967,1,0
1665932527,3,0
1665936786,0,1
1665941768,1,2
1665951127,0,4
1665952986,0,1
1665954127,0,1
1665971169,1,0
1665972308,0,2
1665975611,0,2
1665990010,0,3
1665992887,1,0
1665993968,0,1
1666005487,1,0
1666006930,1,0
1666010166,0,1
1666013768,0,1
1666019886,1,0
1666024929,0,1
1666027085,1,0
1666032128,0,1
1666037887,1,0
1666039687,0,1
1666041488,0,2
1666047247,0,1
1666049409,0,1
1666053008,1,0
1666056247,2,0
1666057327,1,0
1666059127,1,1
1666062012,1,5
1666068127,1,0
1666069327,1,1
1666082167,1,0
1666085047,5,0
1666086128,5,0
1666092967,1,0
1666099086,0,1
1666102508,0,7
1666107009,1,0
1666113848,1,1
1666114928,1,0
1666120686,1,0
1666124288,0,1
1666131128,0,1
1666146729,1,0
1666151647,1,0
1666157048,1,0
1666158128,1,0
1666163168,1,0
1666164968,0,1
1666169287,0,1
1666171448,1,0
1666175409,1,0
1666186567,1,0
1666190886,0,1
1666192687,1,0
1666194846,0,1
1666204208,1,0
1666222268,0,1
1666225808,0,3
1666227246,1,0
1666234088,1,1
1666239487,1,1
1666243446,0,1
1666246686,1,0
1666247768,0,1
1666252088,1,4
1666254608,0,2
1666255689,0,1
1666258927,1,0
1666267567,3,0
1666269727,1,2
1666276208,0,2
1666277286,1,0
1666280887,1,0
1666288448,1,0
1666292047,1,0
1666297808,0,1
1666298525,0,1
1666301408,0,1
1666303568,1,0
1666307526,1,0
1666308608,1,0
1666309731,0,1
1666323367,0,1
1666325887,0,2
1666327688,0,1
1666331332,1,0
1666338366,0,1
1666339928,0,2
1666348927,1,0
1666353246,0,1
1666358048,1,0
1666362966,0,2
1666366210,0,1
1666381328,0,1
1666382047,1,0
1666386726,1,0
1666391046,1,0
1666392848,9,0
1666394287,1,0
1666396447,3,1
1666397169,0,1
1666398667,0,1
1666402927,0,1
1666406167,0,2
1666409467,1,3
1666410846,0,1
1666414448,1,0
1666416968,1,0
1666418768,1,0
1666430647,0,1
1666431786,0,2
1666436768,0,4
1666438569,0,1
1666439646,1,0
1666440011,0,1
1666441808,1,0
1666452668,1,0
1666455694,1,0
1666459447,0,1
1666460167,0,2
1666464487,7,0
1666467007,1,0
1666470967,0,1
1666472767,0,1
1666475287,1,0
1666477087,0,1
1666478888,1,0
1666482846,0,1
1666492210,0,1
1666495810,0,1
1666499408,1,0
1666506969,0,1
1666510567,0,2
1666512368,0,1
1666514527,0,2
1666528929,1,1
1666531087,1,0
1666557428,2,1
1666559887,1,0
1666562399,3,3
1666571408,0,1
1666573567,0,2
1666575367,0,3
1666578608,0,2
1666593009,0,1
1666600927,1,0
1666603087,1,0
1666604527,4,0
1666605966,2,0
1666606328,1,0
1666607767,1,0
1666608487,3,0
1666610288,3,0
1666612086,2,0
1666613527,3,0
1666614967,1,0
1666618208,1,0
1666620127,1,1
1666622166,2,0
1666625766,3,2
1666626127,1,0
1666629367,1,0
1666630087,1,0
1666633328,1,2
1666635491,1,2
1666636626,1,0
1666638727,0,1
1666640527,2,1
1666644848,1,2
1666649893,1,0
1666659247,1,0
1666660327,1,0
1666663927,0,1
1666674367,3,0
1666676167,1,1
1666685167,1,1
1666692011,1,0
1666712528,1,0
1666717929,1,1
1666729087,1,0
1666732688,0,2
1666733767,0,2
1666735213,2,0
1666739168,0,1
1666740966,0,1
1666744208,0,3
1666750686,1,1
1666752846,1,2
1666761847,1,0
1666767246,1,0
1666770488,0,1
1666771566,0,1
1666774089,1,0
1666775527,0,1
1666780208,0,1
1666784168,1,0
1666786686,0,2
1666787767,0,3
1666794248,1,0
1666801807,0,1
1666805768,0,2
1666811167,0,1
1666823768,0,1
1666826287,0,1
