DateTime,Entries,UniqueIPs
1666041846,1826,1905
1666044024,1819,1897
1666045929,1818,1896
1666047880,1811,1887
1666049806,1790,1859
1666051684,1779,1848
1666053640,1793,1864
1666055528,1803,1873
1666057487,1795,1861
1666059407,1800,1865
1666061320,1790,1858
1666063446,1796,1865
1666065623,1805,1870
1666067769,1802,1868
1666069959,1796,1862
1666071914,1800,1864
1666073764,1795,1859
1666075683,1813,1874
1666077609,1821,1883
1666079531,1837,1896
1666081484,1846,1902
1666083363,1849,1905
1666085566,1850,1905
1666087483,1843,1897
1666089377,1829,1886
1666091563,1822,1879
1666093444,1812,1867
1666095403,1826,1879
1666097524,1837,1888
1666099486,1837,1884
1666101366,1842,1891
1666103527,1843,1894
1666105447,1836,1887
1666107368,1838,1889
1666109320,1855,1902
1666111206,1854,1900
1666113160,1854,1897
1666115286,1855,1898
1666117240,1849,1889
1666119164,1845,1880
1666121087,1851,1883
1666122999,1856,1888
1666125124,1866,1900
1666127083,1868,1902
1666128967,1883,1915
1666131160,1893,1927
1666133082,1897,1930
1666134999,1918,1952
1666137166,1944,1980
1666139046,1959,1994
1666140966,1956,1991
1666142884,1950,1986
1666144822,1961,1997
1666146969,1955,1991
1666149126,1955,1993
1666151292,1953,1991
1666153247,1957,1998
1666155171,1975,2018
1666157045,1987,2039
1666159011,1991,2042
1666161163,1982,2029
1666163082,1995,2039
1666165009,2006,2050
1666167145,2000,2046
1666169046,2000,2046
1666171205,1994,2039
1666173169,1984,2028
1666175080,2007,2050
1666177256,2023,2066
1666179159,2023,2064
1666181047,2033,2071
1666182966,2031,2067
1666185160,2033,2068
1666187322,2030,2068
1666189204,2032,2071
1666191168,2034,2075
1666193044,2043,2085
1666195008,2043,2089
1666196928,2037,2081
1666198858,2037,2082
1666201007,2037,2080
1666203159,2051,2093
1666205081,2056,2102
1666206966,2059,2108
1666208886,2063,2113
1666210841,2068,2120
1666212768,2053,2108
1666214887,2052,2107
1666216818,2045,2103
1666218759,2048,2102
1666220649,2035,2088
1666222564,2032,2085
1666224764,2029,2082
1666226644,2030,2081
1666228571,2030,2087
1666230518,2038,2094
1666232449,2033,2095
1666234327,2050,2113
1666236286,2054,2118
1666238406,2059,2124
1666240328,2044,2109
1666242244,2042,2106
1666244210,2040,2099
1666246324,2031,2089
1666248486,2043,2101
1666250443,2028,2090
1666252328,2022,2084
1666254287,2011,2074
1666256430,2006,2069
1666258568,1997,2059
1666260523,1988,2050
1666262687,1993,2055
1666264564,1979,2041
1666266765,1969,2036
1666268647,1958,2025
1666270564,1938,2005
1666272724,1950,2018
1666274680,1942,2012
1666276807,1922,1987
1666278729,1915,1981
1666280680,1909,1973
1666282564,1896,1962
1666284730,1894,1959
1666286649,1891,1956
1666288563,1872,1941
1666290765,1860,1929
1666292921,1858,1926
1666294842,1858,1925
1666296757,1854,1921
1666298683,1848,1915
1666300603,1843,1912
1666302768,1841,1910
1666304646,1842,1908
1666306808,1837,1901
1666309003,1805,1863
1666311163,1839,1898
1666313045,1784,1842
1666315005,1790,1848
1666316885,1814,1873
1666319052,1765,1822
1666320965,1748,1803
1666323168,1742,1797
1666325081,1738,1792
1666326972,1738,1791
1666329158,1734,1785
1666331045,1731,1782
1666333005,1731,1782
1666335128,1729,1781
1666337048,1729,1783
1666338963,1731,1783
1666340889,1718,1770
1666343081,1724,1772
1666344964,1757,1805
1666347163,1740,1789
1666349047,1772,1825
1666350966,1731,1791
1666353162,1751,1811
1666355044,1757,1814
1666356964,1748,1806
1666358895,1756,1816
1666360805,1749,1810
1666362762,1748,1809
1666364885,1746,1808
1666366805,1743,1804
1666368723,1756,1816
1666370645,1762,1817
1666372803,1750,1805
1666374724,1763,1817
1666376649,1771,1826
1666378564,1769,1821
1666380765,1783,1834
1666382680,1780,1835
1666384564,1770,1826
1666386522,1762,1823
1666388407,1755,1816
1666390599,1752,1813
1666392518,1741,1801
1666394438,1744,1806
1666396610,1746,1809
1666398766,1744,1808
1666400648,1740,1805
1666402603,1732,1803
1666404484,1743,1815
1666406682,1747,1820
1666408811,1744,1821
1666410726,1738,1816
1666412651,1740,1817
1666414613,1744,1819
1666416769,1743,1821
1666418725,1732,1811
1666420852,1727,1804
1666422729,1730,1805
1666424650,1737,1811
1666426808,1743,1816
1666428723,1748,1821
1666430690,1737,1811
1666432601,1744,1816
1666434724,1742,1815
1666436645,1749,1818
1666438564,1754,1824
1666440486,1769,1840
1666442644,1782,1852
1666444612,1782,1850
1666446484,1779,1843
1666448647,1779,1846
1666450824,1793,1857
1666452968,1799,1862
1666455164,1754,1812
1666457045,1790,1849
1666458999,1791,1851
1666461127,1768,1826
1666463049,1803,1864
1666464964,1808,1867
1666467169,1787,1841
1666469049,1813,1867
1666470968,1787,1838
1666473164,1793,1845
1666475088,1804,1857
1666476963,1831,1887
1666479171,1784,1844
1666481047,1791,1851
1666483010,1816,1876
1666484918,1814,1876
1666487053,1799,1854
1666489003,1835,1896
1666490927,1806,1871
1666492808,1841,1906
1666494877,1842,1907
1666496921,1841,1908
1666498839,1851,1916
1666500758,1856,1922
1666502683,1863,1931
1666504810,1865,1933
1666506759,1865,1934
1666508679,1859,1926
1666510566,1866,1931
1666512838,1860,1926
1666514680,1867,1932
1666516804,1872,1935
1666518774,1862,1926
1666520645,1854,1917
1666522610,1867,1927
1666524723,1867,1928
1666526683,1852,1919
1666528565,1853,1919
1666530884,1861,1924
1666532888,1839,1900
1666534804,1881,1943
1666536964,1883,1945
1666538933,1872,1933
1666540849,1863,1924
1666542760,1867,1927
1666544682,1868,1928
1666546566,1872,1935
1666548520,1871,1931
1666550446,1870,1930
1666552328,1876,1933
1666554249,1859,1918
1666556167,1874,1934
1666558360,1862,1922
1666560247,1869,1934
1666562298,1870,1936
1666564325,1878,1942
1666566244,1875,1941
1666568164,1884,1949
1666570118,1891,1957
1666572245,1889,1959
1666574404,1882,1953
1666576366,1882,1951
1666578280,1877,1948
1666580419,1873,1945
1666582324,1871,1945
1666584530,1871,1941
1666586404,1865,1931
1666588368,1859,1925
1666590244,1846,1915
1666592211,1834,1904
1666594328,1818,1884
1666596489,1829,1898
1666598419,1819,1889
1666600364,1813,1887
1666602246,1801,1874
1666604168,1804,1877
1666606119,1806,1881
1666608006,1809,1884
1666609959,1812,1887
1666611880,1802,1875
1666613765,1805,1877
1666615966,1805,1877
1666617848,1801,1876
1666619805,1803,1877
1666621924,1781,1863
1666623881,1773,1856
1666625765,1776,1859
1666627719,1775,1859
1666629608,1783,1864
1666631523,1779,1860
1666633488,1772,1851
1666635604,1759,1838
1666637524,1758,1836
1666639446,1767,1844
1666641401,1767,1845
1666643559,1772,1849
1666645445,1781,1857
1666647403,1782,1850
1666649319,1790,1855
1666651447,1795,1860
1666653364,1806,1871
1666655526,1823,1886
1666657448,1819,1885
1666659647,1815,1883
1666661524,1820,1887
1666663445,1812,1878
1666665403,1810,1877
1666667528,1809,1875
1666669483,1807,1873
