DateTime,AddedIPs,RemovedIPs
1666041846,48,48
1666044024,49,49
1666045929,57,50
1666047880,40,55
1666049806,24,40
1666051684,51,24
1666053640,61,49
1666055528,56,64
1666057487,47,53
1666059407,67,50
1666061320,56,62
1666063446,50,59
1666065623,55,50
1666067769,42,57
1666069959,45,43
1666071914,71,47
1666073764,67,67
1666075683,61,67
1666077609,52,64
1666079531,66,51
1666081484,63,68
1666083363,61,61
1666085566,62,62
1666087483,47,63
1666089377,55,45
1666091563,50,54
1666093444,47,51
1666095403,64,46
1666097524,58,63
1666099486,52,56
1666101366,61,54
1666103527,62,63
1666105447,59,63
1666107368,59,58
1666109320,62,59
1666111206,57,62
1666113160,60,56
1666115286,41,62
1666117240,45,41
1666119164,61,42
1666121087,59,62
1666122999,51,61
1666125124,62,50
1666127083,58,60
1666128967,59,55
1666131160,62,61
1666133082,61,63
1666134999,61,60
1666137166,63,62
1666139046,62,65
1666140966,49,61
1666142884,47,47
1666144822,51,49
1666146969,54,52
1666149126,56,48
1666151292,48,57
1666153247,61,52
1666155171,66,62
1666157045,66,67
1666159011,68,66
1666161163,56,66
1666163082,64,56
1666165009,58,63
1666167145,60,57
1666169046,61,59
1666171205,57,58
1666173169,51,59
1666175080,67,53
1666177256,60,64
1666179159,60,63
1666181047,62,63
1666182966,61,62
1666185160,60,57
1666187322,59,62
1666189204,70,61
1666191168,65,68
1666193044,66,64
1666195008,64,67
1666196928,58,65
1666198858,52,58
1666201007,60,51
1666203159,58,60
1666205081,58,57
1666206966,68,63
1666208886,59,68
1666210841,58,56
1666212768,61,57
1666214887,52,59
1666216818,62,55
1666218759,59,60
1666220649,53,58
1666222564,62,57
1666224764,56,59
1666226644,62,58
1666228571,50,63
1666230518,62,48
1666232449,59,62
1666234327,70,61
1666236286,60,68
1666238406,68,60
1666240328,45,67
1666242244,60,46
1666244210,67,61
1666246324,58,66
1666248486,63,59
1666250443,60,63
1666252328,59,60
1666254287,60,57
1666256430,54,63
1666258568,40,54
1666260523,33,35
1666262687,60,40
1666264564,53,46
1666266765,58,62
1666268647,57,53
1666270564,43,64
1666272724,62,42
1666274680,60,62
1666276807,55,61
1666278729,60,55
1666280680,62,61
1666282564,57,59
1666284730,56,53
1666286649,61,57
1666288563,44,60
1666290765,56,47
1666292921,52,58
1666294842,59,51
1666296757,59,63
1666298683,59,57
1666300603,49,57
1666302768,56,48
1666304646,58,60
1666306808,53,57
1666309003,56,48
1666311163,54,59
1666313045,34,55
1666315005,52,31
1666316885,45,52
1666319052,47,43
1666320965,52,48
1666323168,45,50
1666325081,49,44
1666326972,42,56
1666329158,58,40
1666331045,56,62
1666333005,59,54
1666335128,66,59
1666337048,65,62
1666338963,53,69
1666340889,52,52
1666343081,58,52
1666344964,49,57
1666347163,54,50
1666349047,58,50
1666350966,63,63
1666353162,38,63
1666355044,45,39
1666356964,50,42
1666358895,59,47
1666360805,50,62
1666362762,54,52
1666364885,59,56
1666366805,54,52
1666368723,57,59
1666370645,49,53
1666372803,41,49
1666374724,57,44
1666376649,57,57
1666378564,54,56
1666380765,64,55
1666382680,64,63
1666384564,48,62
1666386522,43,44
1666388407,47,51
1666390599,56,46
1666392518,51,53
1666394438,55,52
1666396610,56,56
1666398766,55,57
1666400648,34,55
1666402603,55,33
1666404484,54,56
1666406682,52,53
1666408811,53,54
1666410726,45,48
1666412651,51,48
1666414613,49,52
1666416769,66,51
1666418725,53,66
1666420852,59,53
1666422729,59,56
1666424650,68,62
1666426808,58,70
1666428723,56,56
1666430690,54,54
1666432601,64,54
1666434724,53,65
1666436645,61,54
1666438564,63,61
1666440486,57,62
1666442644,60,55
1666444612,48,62
1666446484,62,46
1666448647,57,61
1666450824,69,60
1666452968,74,71
1666455164,47,71
1666457045,58,49
1666458999,63,57
1666461127,67,64
1666463049,56,63
1666464964,62,61
1666467169,69,61
1666469049,41,72
1666470968,61,39
1666473164,52,62
1666475088,63,50
1666476963,57,58
1666479171,44,54
1666481047,67,51
1666483010,39,67
1666484918,56,40
1666487053,52,57
1666489003,69,52
1666490927,65,65
1666492808,53,65
1666494877,66,52
1666496921,58,64
1666498839,54,63
1666500758,55,55
1666502683,62,55
1666504810,63,62
1666506759,59,58
1666508679,55,62
1666510566,63,58
1666512838,66,63
1666514680,65,64
1666516804,58,64
1666518774,55,58
1666520645,63,58
1666522610,67,59
1666524723,63,69
1666526683,64,64
1666528565,55,59
1666530884,66,61
1666532888,68,67
1666534804,70,67
1666536964,60,69
1666538933,54,58
1666540849,56,57
1666542760,57,54
1666544682,56,55
1666546566,67,58
1666548520,51,57
1666550446,60,61
1666552328,56,57
1666554249,54,60
1666556167,59,51
1666558360,58,60
1666560247,57,62
1666562298,55,53
1666564325,58,54
1666566244,58,60
1666568164,62,58
1666570118,49,53
1666572245,55,62
1666574404,48,51
1666576366,63,46
1666578280,60,65
1666580419,56,58
1666582324,53,56
1666584530,61,55
1666586404,40,58
1666588368,44,43
1666590244,52,45
1666592211,53,52
1666594328,47,51
1666596489,58,49
1666598419,55,58
1666600364,58,51
1666602246,60,60
1666604168,54,59
1666606119,60,58
1666608006,57,56
1666609959,63,57
1666611880,51,63
1666613765,68,55
1666615966,66,63
1666617848,55,69
1666619805,63,57
1666621924,60,61
1666623881,58,59
1666625765,67,60
1666627719,62,64
1666629608,61,63
1666631523,59,62
1666633488,54,59
1666635604,54,52
1666637524,57,53
1666639446,65,60
1666641401,60,65
1666643559,58,59
1666645445,64,60
1666647403,56,62
1666649319,56,56
1666651447,65,60
1666653364,63,61
1666655526,64,62
1666657448,51,66
1666659647,48,48
1666661524,53,51
1666663445,56,52
1666665403,56,58
1666667528,53,54
1666669483,56,54
1666671398,55,55
1666673327,43,53
1666675242,50,45
1666677125,52,51
1666679109,53,51
1666680964,51,55
1666683164,66,52
1666685047,61,64
1666687210,67,61
1666689129,64,70
1666691046,76,64
1666693005,68,75
1666694888,63,63
1666697084,69,68
1666699217,62,68
1666701417,54,62
1666703290,58,56
1666705451,64,57
1666707605,60,65
1666709772,52,60
1666711687,65,52
1666713849,63,64
1666715803,66,63
1666717684,63,65
1666719848,59,59
1666721799,61,62
1666723690,62,63
1666725642,60,60
1666727528,56,58
1666729483,52,56
1666731411,62,53
1666733525,60,63
1666735450,62,60
1666737605,54,62
1666739529,64,53
1666741488,62,60
1666743365,60,64
1666745571,48,62
1666747689,60,51
1666749884,62,62
1666752043,47,58
1666754207,59,46
1666756121,58,56
1666758043,55,63
1666760169,37,56
1666762163,69,35
1666764014,64,70
1666765925,69,61
1666767906,65,70
1666769885,62,65
1666771928,71,67
1666773846,67,71
1666776014,64,65
1666777928,52,64
1666779890,68,54
1666781772,48,65
1666783934,69,50
1666785846,59,70
1666788012,67,58
1666789958,57,62
1666791849,64,59
1666793800,58,63
1666795968,58,62
1666797886,51,54
1666799812,66,54
1666801968,63,65
1666803881,60,63
1666806008,66,62
1666808178,57,59
1666810369,56,60
1666812290,64,61
1666814164,59,58
1666816331,64,62
1666818285,54,62
1666820203,54,53
1666822360,54,58
1666824281,63,53
1666826443,47,63
1666828566,55,45
1666830766,58,52
1666832647,40,61
1666834601,48,41
1666836522,59,50
1666838407,52,60
1666840328,58,49
1666842288,56,58
1666844163,51,55
1666846328,35,53
