DateTime,Entries,UniqueIPs
1630015943,21260,21260
1630050252,21318,21318
1630051931,21346,21346
1630055785,21384,21384
1630073531,21629,21629
1630077631,21630,21630
1630095133,22041,22041
1630097297,22454,22454
1630111462,22407,22407
1630120342,22790,22790
1630129214,23208,23208
1630146975,23700,23700
1630153944,24124,24124
1630164990,24529,24529
1630178666,24918,24918
1630212748,24928,24928
1630218507,25332,25332
1630246570,25736,25736
1630296488,25690,25690
1630318333,26084,26084
1630340649,26471,26471
1630399712,26434,26434
1630401864,26828,26828
1630409788,27187,27187
1630489708,27162,27162
1630548736,27557,27557
1630590250,27474,27474
1630682655,27467,27467
1630774338,27412,27412
1630866251,27402,27402
1630957455,27380,27380
1631049372,27372,27372
1631140586,27363,27363
1631232730,27357,27357
1631323928,27317,27317
1631415619,27350,27350
1631508503,27357,27357
1631600650,27334,27334
1631692094,27320,27320
1631784010,27381,27381
1631875456,20410,20410
1631967851,20433,20433
1632060507,20413,20413
1632151704,20413,20413
1632152187,20416,20416
1632243386,20462,20462
1632335778,20490,20490
1632415448,20434,20434
1632507372,20414,20414
1632600518,19593,19593
1632692668,17977,17977
1632772571,15472,15472
1632776184,15885,15885
1632782665,16279,16279
1632789272,16658,16658
1632880814,15804,15804
1632973475,14985,14985
1633065631,14160,14160
1633158260,13731,13731
1633249718,13779,13779
1633341131,13798,13798
1633433286,13816,13816
1633525215,13796,13796
1633617398,13803,13803
1633708808,13805,13805
1633800976,13824,13824
1633892894,13843,13843
1633985052,13821,13821
1634077458,13787,13787
1634170118,13770,13770
1634262281,13737,13737
1634355152,13737,13737
1634355874,13760,13760
1634446812,13763,13763
1634447329,13736,13736
1634539235,13765,13765
1634539957,13747,13747
1634630889,13766,13766
1634631608,13728,13728
1634723048,13730,13730
1634723555,13735,13735
1634814278,13736,13736
1634814727,13730,13730
1634906191,13666,13666
1634998331,13636,13636
1635090039,13659,13659
1635181517,13692,13692
1635182168,13693,13693
1635241964,13288,13288
1635269552,13688,13688
1635361949,13725,13725
1635454340,12521,12521
1635546969,12481,12481
1635638442,12496,12496
1635732008,12479,12479
1635823932,12439,12439
1635915272,12414,12414
1636007528,12387,12387
1636099955,12389,12389
1636193773,12385,12385
1636285449,12389,12389
1636378333,12411,12411
1636470974,12391,12391
1636563656,12418,12418
1636632259,12456,12456
1636724647,12493,12493
1636817535,12538,12538
1636910448,12560,12560
1637001848,12522,12522
1637093770,12538,12538
1637153054,12513,12513
1637244996,12506,12506
1637335461,12468,12468
1637427101,12474,12474
1637518596,12465,12465
1637610250,12484,12484
1637701951,12425,12425
1637794568,12431,12431
1637887452,12441,12441
1637979388,12428,12428
1638071558,12435,12435
1638163926,12426,12426
1638256328,12397,12397
1638348759,12429,12429
1638441155,12424,12424
1638533294,12434,12434
1638624972,12427,12427
1638715951,12428,12428
1638716918,12411,12411
1638808812,12419,12419
1638810036,12400,12400
1638901209,12398,12398
1638901930,12372,12372
1638992897,12393,12393
1638993876,12349,12349
1639085286,12363,12363
1639086276,12319,12319
1639127529,12320,12320
1639177479,12329,12329
1639269852,12354,12354
1639360809,12370,12370
1639452730,12432,12432
1639544650,12481,12481
1639637050,12512,12512
