DateTime,AddedIPs,RemovedIPs
1666300239,10,0
1666300541,9,0
1666301441,3,0
1666302637,2,0
1666302940,7,0
1666303838,4,0
1666304437,2,0
1666305044,1,0
1666306237,4,0
1666307441,30,0
1666308338,1,0
1666309838,1,0
1666311042,9,1
1666311638,1,0
1666312246,1,0
1666313141,2,0
1666314641,5,0
1666316141,2,0
1666316739,2,0
1666317938,1,0
1666318542,2,0
1666320342,1,0
1666321543,3,0
1666321838,9,0
1666322138,1,0
1666323043,2,0
1666323942,2,0
1666325438,4,0
1666325740,1,0
1666326645,2,0
1666327839,1,0
1666329037,4,0
1666329337,1,0
1666330240,1,0
1666331438,1,0
1666332040,0,1
1666332339,11,2
1666332939,1,0
1666334139,2,0
1666335044,1,0
1666335941,1,0
1666338643,1,0
1666339837,4,0
1666342239,0,1
1666342538,0,1
1666342846,0,1
1666343440,2,0
1666347037,5,0
1666350338,1,0
1666350638,1,0
1666353941,3,0
1666354243,4,0
1666354539,1,0
1666355441,1,0
1666358139,8,0
1666360238,1,0
1666361440,2,0
1666362644,1,0
1666364738,2,0
1666365338,5,0
1666367438,2,0
1666368642,3,0
1666368940,3,0
1666369840,4,0
1666371038,2,0
1666372238,3,0
1666375544,3,0
1666375840,1,0
1666376139,1,0
1666377041,2,0
1666377942,2,0
1666379144,1,0
1666379438,2,0
1666383038,2,0
1666386343,2,0
1666386642,1,0
1666387845,1,0
1666389937,1,0
1666390537,6,0
1666393837,6,0
1666396843,1,0
1666397440,4,0
1666398639,1,0
1666399544,1,0
1666404345,1,0
1666404939,4,1
1666405840,1,0
1666408237,17,0
1666410637,1,0
1666411839,3,0
1666413046,1,0
1666413941,2,0
1666415144,1,0
1666415738,3,0
1666416640,3,0
1666419042,1,0
1666419638,1,1
1666420240,1,0
1666422641,1,0
1666423840,4,0
1666425046,1,0
1666425643,1,0
1666426238,4,0
1666427442,1,0
1666429839,5,0
1666431039,2,0
1666432240,1,0
1666433438,1,0
1666433744,1,0
1666434642,3,0
1666435538,1,0
1666437039,2,0
1666438238,2,0
1666442135,1,0
1666444240,10,0
1666447839,4,0
1666449043,1,0
1666451437,8,0
1666452038,1,0
1666455038,2,0
1666456240,1,0
1666458641,2,0
1666459843,2,0
1666465837,2,0
1666466142,1,0
1666467044,1,0
1666469442,2,0
1666469738,1,0
1666470639,3,0
1666473037,9,0
1666474241,1,0
1666475438,1,0
1666476638,4,0
1666480238,4,0
1666481441,1,0
1666482641,1,0
1666483839,6,0
1666485341,2,0
1666486536,0,1
1666487440,3,1
1666488641,2,0
1666490739,2,0
1666491337,6,0
1666492246,1,0
1666492842,1,0
1666494044,1,0
1666494638,11,0
1666495840,1,0
1666497940,1,0
1666498243,2,0
1666498539,1,0
1666501840,4,0
1666503336,1,0
1666504242,2,0
1666505440,5,0
1666508743,2,0
1666509044,5,0
1666510537,1,0
1666511442,1,0
1666512637,2,0
1666513238,2,0
1666516239,4,0
1666517442,1,0
1666519838,2,0
1666523438,5,0
1666527038,1,0
1666527637,1,0
1666530638,3,0
1666531839,1,0
1666532744,1,0
1666534239,1,0
1666537538,1,0
1666537841,1,0
1666540238,1,0
1666541442,1,0
1666542640,1,0
1666544742,2,0
1666545039,2,0
1666545338,1,0
1666548641,1,0
1666549839,1,0
1666552240,6,0
1666552542,1,0
1666553741,1,0
1666554640,2,0
1666555539,1,0
1666556142,1,0
1666557048,1,0
1666558239,0,9
1666558536,0,6
1666558843,0,1
1666559437,1,0
1666560037,0,31
1666560642,1,0
1666561836,1,0
1666563038,2,0
1666566638,3,0
1666570538,3,0
1666571440,1,0
1666575039,1,0
1666575637,1,0
1666581337,12,0
1666584042,0,1
1666584338,1,1
1666584940,1,0
1666585538,0,2
1666588238,1,0
1666590039,1,0
1666590638,1,0
1666591837,4,0
1666593042,0,1
1666593637,1,0
1666595440,5,0
1666599042,1,0
1666599637,0,2
1666602637,1,0
1666608341,1,0
1666609541,1,0
1666609841,3,0
1666610138,1,0
1666611040,1,0
1666613443,1,0
1666617037,2,0
1666618240,1,0
1666620639,3,0
1666620940,2,0
1666621841,1,0
1666624238,5,0
1666628440,0,2
1666631438,10,0
1666632937,3,0
1666635038,4,0
1666636238,1,0
1666638640,11,0
1666640140,2,0
1666641036,1,0
1666642237,7,0
1666644343,1,0
1666645838,9,0
1666646137,1,0
1666649742,3,0
1666650337,1,0
1666652441,1,0
1666653038,14,0
1666654838,1,0
1666656640,8,0
1666660239,8,0
1666660542,1,0
1666661445,1,1
1666662341,1,0
1666663538,1,0
1666663837,1,0
1666666537,1,0
1666667437,11,0
1666669837,1,0
1666671037,8,0
1666674639,2,0
1666675840,1,0
1666677040,1,0
1666677337,0,1
1666677647,0,5
1666678243,30,0
1666681840,11,0
1666685439,5,0
1666688744,1,0
1666689038,3,0
1666689636,1,0
1666690245,4,0
1666691439,2,0
1666692940,3,0
1666694743,1,0
1666696240,4,0
1666699842,1,0
1666703442,6,0
1666705842,1,0
1666706140,1,0
1666707039,4,0
1666708537,0,1
1666710640,2,0
1666712139,1,0
1666713043,2,0
1666713942,2,0
1666714542,2,0
1666715445,1,0
1666717838,5,0
1666718139,1,0
1666721437,1,0
1666724745,1,0
1666725043,4,0
1666726249,1,0
1666728639,2,0
1666729843,1,0
1666732237,7,0
1666733441,13,0
1666734340,6,0
1666739438,16,0
1666740037,2,0
1666740640,1,0
1666742137,1,0
1666743040,7,0
1666744242,3,0
1666745439,1,0
1666746941,3,0
1666750239,3,0
1666754138,2,0
1666755943,1,0
1666756244,1,0
1666757438,2,0
1666758937,2,0
1666761041,7,0
1666764344,0,6
1666764942,42,0
1666765845,1,0
1666769441,1,0
1666771839,1,0
1666772440,0,1
1666775439,1,0
1666779041,2,0
1666779349,1,0
1666780241,5,0
1666781142,3,0
1666782341,1,0
1666782644,19,0
1666782945,1,0
1666783843,2,0
1666786240,5,0
1666788649,1,0
1666789843,16,0
1666790441,1,0
1666791343,2,0
1666793449,3,0
1666795839,1,0
1666797041,3,0
1666799148,1,0
1666800644,2,0
1666800941,1,0
1666803042,1,0
1666804242,15,0
1666808139,2,0
