DateTime,AddedIPs,RemovedIPs
1666254287,254,32
1666255485,157,0
1666256430,28,31
1666258568,22,28
1666260523,20,24
1666262687,34,31
1666264564,299,34
1666266765,26,30
1666268647,19,29
1666270564,211,28
1666270787,175,0
1666272724,25,23
1666274680,193,33
1666276807,18,36
1666278729,67,32
1666279450,16,20
1666280680,29,35
1666282564,15,28
1666284730,290,19
1666286649,56,30
1666288563,12,30
1666290765,167,25
1666292921,22,23
1666293286,296,0
1666294842,23,18
1666296757,21,24
1666298683,136,21
1666300603,74,26
1666302768,85,13
1666303186,109,0
1666304646,25,16
1666306808,18,21
1666309003,63,47
1666311163,19,0
1666313045,268,3739
1666313086,53,0
1666315005,25,20
1666316885,37,0
1666319052,61,131
1666320965,20,32
1666321186,225,0
1666323168,50,55
1666325081,28,26
1666326262,453,464
1666326972,17,18
1666329158,124,31
1666331045,142,28
1666331086,114,0
1666333005,24,30
1666334646,38,35
1666335128,126,35
1666337048,75,30
1666338963,146,25
1666340889,25,31
1666343081,30,29
1666344964,219,0
1666345485,132,0
1666347163,30,43
1666349047,26,0
1666350966,28,50
1666353162,18,0
1666355044,380,18
1666356286,214,0
1666356964,20,18
1666358895,28,18
1666359885,224,0
1666360805,16,22
1666362762,28,22
1666364885,23,23
1666365845,20,16
1666366805,24,21
1666367085,384,0
1666368723,29,24
1666370645,17,12
1666370686,149,0
1666372803,17,25
1666374724,29,19
1666376649,13,11
1666378564,207,21
1666378785,130,0
1666380765,26,18
1666382680,133,28
1666384564,16,15
1666386522,119,16
1666387785,114,0
1666388407,19,15
1666390599,24,19
1666392518,18,23
1666394438,19,16
1666396610,226,18
1666398766,90,21
1666399485,84,3469
1666400648,12,12
1666402603,22,20
1666403085,107,0
1666404484,26,14
1666404971,48,0
1666406682,22,12
1666408811,62,17
1666410726,120,16
1666411185,120,0
1666412651,31,26
1666414613,17,13
1666416769,191,23
1666418725,23,26
1666419158,464,892
1666420852,111,24
1666421986,139,0
1666422729,30,29
1666424650,34,31
1666425585,107,0
1666426808,32,25
1666428723,22,22
1666430690,17,28
1666432601,34,23
1666432785,210,0
1666434724,25,22
1666436645,110,23
1666438185,137,0
1666438564,35,30
1666440486,24,10
1666441492,414,0
1666441785,127,0
1666442644,24,16
1666444612,20,17
1666446484,22,21
1666448647,21,18
1666450824,217,25
1666451527,108,20
1666452968,27,26
1666455164,20,50
1666457045,21,0
1666457085,198,0
1666458999,22,19
1666461127,26,39
1666463049,27,0
1666464964,240,13
1666467169,30,37
1666469049,169,0
1666470968,23,36
1666473164,62,18
1666475088,20,17
1666476963,16,0
1666477785,242,0
1666479171,17,38
1666481047,26,16
1666483010,12,0
1666484918,24,18
1666487053,225,3775
1666489003,27,0
1666490927,71,92
1666492808,27,0
1666494877,227,62
1666496921,116,19
1666498839,22,17
1666500758,60,20
1666502683,27,18
1666504810,35,29
1666506251,165,42
1666506759,120,26
1666508679,20,23
1666510566,33,28
1666512838,30,31
1666514680,174,28
1666516804,160,24
1666518774,52,23
1666520645,26,34
1666522610,27,27
1666522785,238,0
1666524723,32,33
1666526683,124,32
1666528565,22,27
1666529085,127,0
1666530884,29,23
1666532888,142,49
1666533895,446,819
1666534804,29,0
1666536964,31,15
1666538933,15,30
1666539884,262,0
1666540849,20,24
1666541530,13,27
1666542760,24,17
1666543485,134,0
1666544682,22,21
1666546566,21,19
1666548520,19,25
1666550446,25,25
1666552328,228,18
1666554249,22,29
1666555730,641,0
1666556167,19,14
1666558360,18,22
1666560247,20,23
1666560585,245,0
1666562298,20,17
1666564325,22,12
1666566244,20,19
1666568164,144,22
1666570118,63,11
1666572245,18,25
1666574404,154,2722
1666575885,112,0
1666576366,34,28
1666578280,28,23
1666579485,108,0
1666580419,109,153
1666582324,33,29
1666583085,80,0
1666584530,27,25
1666586404,22,19
1666586685,126,0
1666588368,24,25
1666590244,25,26
1666592211,102,67
