DateTime,AddedIPs,RemovedIPs
1662901441,401,412
1662912241,448,449
1662923041,386,382
1662933841,349,342
1662944641,703,679
1662955441,687,687
1662957042,23,18
1662966241,641,629
1662977041,512,518
1662987841,348,348
1662998641,358,359
1663006456,1,0
1663009441,355,619
1663020241,324,317
1663022430,167,0
1663031041,753,733
1663041841,848,849
1663043438,17,22
1663052641,746,743
1663063441,630,643
1663074241,502,509
1663085041,494,488
1663087226,177,0
1663095841,503,483
1663099010,0,256
1663106641,543,527
1663117441,802,807
1663128241,808,797
1663129849,35,26
1663139041,609,619
1663149841,589,594
1663160641,446,433
1663171441,534,513
1663182241,510,498
1663186202,0,243
1663193041,479,487
1663203841,775,769
1663214641,766,772
1663216260,21,26
1663225441,588,570
1663236241,637,635
1663239423,253,0
1663247041,523,527
1663257841,457,485
1663268641,492,498
1663275425,243,0
1663279441,405,400
1663290241,805,802
1663301041,703,696
1663302651,17,67
1663311841,640,648
1663322641,695,713
1663333441,493,495
1663344241,513,504
1663355041,538,514
1663365841,495,494
1663376641,838,815
1663387441,927,948
1663389050,12,21
1663398241,593,599
1663409041,450,444
1663419841,365,364
1663430641,345,345
1663441441,439,421
1663452241,365,354
1663463041,723,723
1663473841,630,625
1663475445,35,73
1663484641,889,902
1663495442,451,459
1663506241,375,359
1663517041,293,294
1663518314,252,0
1663527841,351,364
1663533648,2,2
1663538641,266,269
1663549441,856,825
1663560241,606,632
1663561848,14,57
1663571041,490,493
1663577585,1,1
1663581841,508,547
1663592641,374,377
1663603441,385,387
1663614241,302,290
1663625041,324,314
1663635841,733,730
1663646641,581,571
1663648246,14,18
1663657441,610,613
1663668241,455,471
1663679042,441,452
1663689841,358,360
1663700641,433,418
1663708807,1,1
1663711441,388,378
1663722241,640,634
1663733041,657,665
1663734661,33,85
1663743841,652,659
1663752731,2,3
1663754641,481,481
1663765441,515,507
1663768766,252,0
1663776241,378,372
1663787041,368,351
1663796442,1,3
1663797841,395,395
1663808641,761,756
1663819441,716,720
1663821061,49,38
1663830241,467,475
1663840126,1,2
1663841041,455,464
1663851841,432,433
1663862641,388,383
1663873441,375,377
1663884057,1,0
1663884241,395,387
1663895041,754,750
1663905841,673,700
1663907460,60,24
1663916641,459,478
1663927968,492,467
1663938241,435,429
1663949041,398,400
1663959841,420,417
1663970641,315,314
1663981441,816,815
1663992241,689,700
1663993859,15,42
1664003041,469,469
1664013841,444,444
1664024641,394,380
1664035441,507,498
1664039401,0,255
1664046241,390,388
1664057041,341,346
1664067841,869,859
1664078641,721,748
1664080238,20,25
1664089441,883,882
1664100241,571,575
1664111041,432,436
1664118621,254,0
1664121841,415,422
1664132641,374,385
1664143441,362,362
1664146332,2,2
1664154241,765,742
1664165041,602,631
1664166637,32,49
1664175841,537,545
1664186641,458,443
1664190013,1,1
1664197441,372,357
1664198722,254,0
1664206824,0,254
1664208241,474,480
1664219041,466,470
1664229841,412,415
1664233799,252,0
1664240641,763,748
1664251441,561,593
1664253062,28,22
1664262241,473,471
1664273041,487,478
1664277618,1,2
1664283841,510,520
1664287230,0,505
1664290835,253,0
1664294641,437,442
1664305441,460,465
1664316241,429,436
1664327041,758,720
1664337841,568,575
1664339498,36,41
1664343131,1,2
1664348641,478,471
1664359441,554,548
1664370241,536,543
1664374231,0,252
1664381041,440,446
1664391841,449,445
1664402641,488,484
1664409473,0,190
1664413441,700,692
1664424241,663,654
1664425853,21,15
1664435041,550,553
1664445841,534,541
1664456641,470,479
1664462421,0,256
1664467441,403,417
1664474202,3,2
1664478241,396,397
1664489041,369,353
1664490329,0,253
1664499841,644,635
1664510641,636,645
1664512264,59,18
1664521441,591,597
1664532241,562,568
1664543042,478,486
1664553841,400,406
1664562250,1,1
1664564641,424,408
1664575441,389,381
1664586241,621,640
1664589415,0,255
1664597041,602,586
1664598655,13,26
1664607841,744,754
1664618641,597,613
1664629441,616,628
1664633399,0,256
1664640241,424,431
1664651041,405,404
1664661841,419,400
1664672641,678,689
1664683441,586,570
1664685057,16,18
1664694241,514,528
1664705041,477,484
1664715841,439,437
1664726641,694,436
1664728799,121,0
1664737441,707,668
1664748241,576,555
1664759041,630,643
1664769841,630,624
1664771455,24,68
1664780641,522,532
1664791441,484,480
1664802241,442,453
1664804421,0,256
1664813041,448,447
1664823841,420,392
1664834641,415,422
1664845441,658,664
1664856241,650,651
1664857872,13,17
1664867041,607,604
1664877841,496,490
1664888641,461,471
1664899441,418,415
1664910241,381,367
1664921041,655,665
1664924998,0,254
1664931841,754,731
1664942641,749,758
1664944248,46,19
1664953441,547,556
1664964241,473,478
1664975041,463,456
1664977969,1,0
1664985841,466,474
1664996641,403,406
1665007441,347,346
1665015921,250,0
1665018241,776,780
1665029041,610,595
1665030653,67,34
1665039841,509,510
1665050641,546,557
1665061441,390,394
1665064617,0,247
1665072241,519,528
1665083041,404,407
1665093841,366,370
1665104641,975,952
1665115441,565,586
1665117040,29,27
1665126241,572,581
1665137041,444,446
1665147841,402,402
1665153173,1,0
1665158641,352,360
1665169441,404,384
1665180241,466,464
1665191041,866,846
1665201841,784,796
1665203435,21,31
1665212641,560,587
1665223441,408,411
1665234241,467,469
1665245041,400,395
1665255841,458,450
1665266641,383,390
1665277441,873,835
1665288241,685,711
1665289871,36,43
1665299041,964,969
1665309841,580,565
1665320641,395,386
1665331441,438,438
1665333619,146,0
1665342241,538,550
1665353041,409,406
1665363841,968,937
1665374641,784,808
1665376263,22,32
1665385441,677,683
1665396241,458,471
1665407041,419,429
1665415971,2,0
1665417841,429,434
1665428641,524,506
1665439441,474,471
1665450241,855,864
1665461041,711,690
1665462647,18,17
1665471841,570,571
1665482641,551,561
1665493441,511,530
1665499230,0,253
1665504241,499,510
1665515041,459,449
1665525841,478,455
1665536641,956,957
1665547441,679,657
1665549054,19,17
1665558241,691,690
1665569041,642,661
1665579841,435,455
1665583797,254,0
1665590651,2,0
1665591920,384,386
1665601441,388,378
1665612241,421,401
1665612596,0,251
1665623041,1194,1206
1665633841,598,592
1665635437,12,60
1665644641,580,590
1665655441,541,548
1665666241,402,430
1665677041,431,448
1665678050,1,0
1665687841,412,414
1665698641,325,309
1665709441,1393,1253
1665720241,652,671
1665721836,51,20
1665731041,556,555
1665741841,489,467
1665752641,474,491
1665763441,379,406
1665774241,394,430
1665785041,369,366
1665795841,736,686
1665806641,612,625
1665808270,22,19
1665817441,558,520
1665828241,462,481
1665839041,437,446
1665843909,255,0
1665849841,367,382
1665852017,0,255
1665855617,0,221
1665860641,461,463
1665871441,395,375
1665882241,754,694
1665893041,550,541
1665894671,21,25
1665903841,951,927
1665914641,530,541
1665925441,439,495
1665936241,387,384
1665947041,333,320
1665949196,250,0
