DateTime,AddedIPs,RemovedIPs
1666603323,5,0
1666603983,1,0
1666605722,5,0
1666606922,8,0
1666607583,4,0
1666608122,15,0
1666609322,5,0
1666611184,14,0
1666611723,10,0
1666612323,4,0
1666613524,11,0
1666615322,12,0
1666615923,2,0
1666616523,2,0
1666617124,4,0
1666617723,1,0
1666618324,2,0
1666619523,2,0
1666620122,2,0
1666621322,1,0
1666622522,8,0
1666623123,7,0
1666623722,1,0
1666624922,6,0
1666626123,4,0
1666626722,2,0
1666627322,1,0
1666628523,3,0
1666629123,5,0
1666629722,15,0
1666630322,1,0
1666630923,21,0
1666631523,7,0
1666632123,6,0
1666632781,86,0
1666633322,75,0
1666633922,1,0
1666634522,59,0
1666635722,31,0
1666636322,26,0
1666637523,9,0
1666638723,2,0
1666639323,5,0
1666639982,7,0
1666641723,1,0
1666642323,11,0
1666642922,2,0
1666644123,11,0
1666644722,1,0
1666645322,9,0
1666646524,13,0
1666647183,2,0
1666647723,5,0
1666648922,1,0
1666649523,3,0
1666650123,1,0
1666651322,1,0
1666652522,2,0
1666653723,4,0
1666654383,2,0
1666655524,4,0
1666656123,5,0
1666656722,3,0
1666657323,6,0
1666658523,2,0
1666659723,1,0
1666660323,2,0
1666661581,1,0
1666662722,4,0
1666664522,1,0
1666665722,5,0
1666666322,1,0
1666669322,4,0
1666671123,1,0
1666672923,15,0
1666673523,1,0
1666674122,2,0
1666675981,5,0
1666676522,3,0
1666677722,9,0
1666678923,23,0
1666680123,28,0
1666681322,2,0
1666681922,11,0
1666682523,27,0
1666683123,4,0
1666683723,12,0
1666684323,15,0
1666684922,2,0
1666685523,1,0
1666686123,6,0
1666686723,1,0
1666687923,2,0
1666689123,2,0
1666690923,14,0
1666692123,3,0
1666692722,2,0
1666693922,7,0
1666695122,3,0
1666695722,2,0
1666696323,1,0
1666698722,1,0
1666699923,1,0
1666700522,2,0
1666701181,1,0
1666701722,1,0
1666702323,1,0
1666704123,16,0
1666704781,2,0
1666705324,4,0
1666706523,3,0
1666707122,1,0
1666707723,4,0
1666709522,2,0
1666710123,1,0
1666711323,6,0
1666711981,1,0
1666712523,1,0
1666713723,1,0
1666715581,1,0
1666716123,1,0
1666717923,1,0
1666718522,2,0
1666719181,4,0
1666719722,1,0
1666720922,5,0
1666722123,5,0
1666722782,1,0
1666723922,2,0
1666725123,1,0
1666726923,4,0
1666727522,1,0
1666728723,2,0
1666729323,4,0
1666730523,2,0
1666731722,1,0
1666732922,1,0
1666733581,2,0
