DateTime,AddedIPs,RemovedIPs
1623610803,74191,402
1623697271,402,343
1623783725,342,371
1623870232,372,332
1623956657,332,1082
1624043102,1082,37
1624129619,37,553
1624216105,553,1162
1624302567,1162,1077
1624389079,1077,116
1624475523,116,100
1624562003,100,3084
1624648500,3084,1321
1624734903,1321,182
1624821511,182,536
1624907952,532,77
1624994406,81,62847
1625080875,62847,656
1625167350,656,493
1625253855,493,2879
1625340387,2879,65984
1625426870,65984,517
1625513315,517,297
1625599800,296,303
1625686281,304,1996
1625772759,1996,892
1625859292,892,2142
1625945777,2142,1231
1626032325,1231,65
1626118773,65,175
1626205204,175,1066
1626291674,1066,204
1626378296,204,15635
1626464703,7443,2589
1626551178,10781,1459
1626637693,1459,657
1626724259,657,330
1626810663,330,433
1626897168,433,511
1626983583,511,871
1627070085,871,5386
1627156528,5386,2070
1627243150,1814,384
1627329602,639,725
1627416065,726,261
1627502523,261,326
1627589054,326,548
1627675552,548,410
1627762031,410,798
1627848614,798,102
1627935079,102,655
1628021548,655,4552
1628108006,4552,3694
1628194500,3694,297
1628280902,297,135
1628367515,135,180
1628453948,180,282
1628540406,282,318
1628626879,318,2557
1628713342,2557,37
1628799882,37,306
1628886311,306,1448
1628972879,1448,910
1629059282,910,287
1629145806,287,555
1629232274,555,559
1629318899,559,12660
1629405354,12660,124
1629491864,124,1622
1629578415,1622,4686
1629664879,4685,679
1629751371,680,5231
1629837902,5231,359
1629924394,359,1167
1630010992,1167,27
1630097414,27,1097
1630183881,1097,311
1630270345,311,277
1630356828,277,66513
1630443477,66513,2080
1630529909,2080,590
1630616365,590,432
1630702802,432,1072
1630789263,1072,2193
1630875723,2193,10
1630962197,10,555
1631048645,555,381
1631135105,381,4579
1631221592,4579,715
1631308035,715,350
1631394607,350,298
1631481074,298,65847
1631567646,65847,193
1631654103,193,4740
1631740565,4740,50
1631827190,50,118
1631913606,118,98
1632000074,98,209
1632086632,209,4731
1632173246,4731,56
1632259692,56,289
1632346194,289,2364
1632432603,2364,2064
1632519080,2064,197
1632605541,197,266
1632692061,266,74
1632778578,74,333
1632865060,333,396
1632951518,396,377
1633038005,377,17434
1633124491,17434,271
1633210969,271,65991
1633297457,65927,104
1633383903,168,1353
1633470397,1353,569
1633556884,569,1099
1633643353,1099,2416
1633730022,2416,348
1633816672,346,5228
1633903135,5230,1318
1633989547,1318,1335
1634162464,1335,808
1634248931,808,1155
1634335386,1155,850
1634421854,850,8783
1634508375,8783,617
1634594826,617,3712
1634681415,3711,850
1634767874,851,874
1634854342,874,591
1634940866,590,6648
1635027303,6649,789
1635113811,789,1424
1635200247,1424,772
1635286724,772,1080
1635373151,1080,8535
1635459606,8535,620
1635546079,619,2217
1635632535,2218,777
1635719011,777,409
1635805650,409,3639
1635892105,3629,828
1635978601,838,4308
1636065079,4308,268
1636151636,268,390
1636238059,390,1530
1636324772,1530,6210
1636411205,6210,301
1636497680,301,544
1636584303,543,3126
1636670814,3127,1794
1636757223,1794,1189
1636844187,1189,560
1636930747,560,8217
1637017202,8217,245
1637103663,245,4788
1637190123,4788,20419
1637276583,20419,606
1637363047,605,1230
1637449503,1199,20
1637536011,52,197
1637622437,197,5676
1637708887,5676,248
1637795414,248,4181
1637882100,4181,5403
1637968502,5403,2087
1638054975,2087,786
1638141442,786,1062
1638227964,1062,16510
1638314406,16510,339
1638401032,339,359
1638487521,359,8712
1638574084,8712,290
1638660601,290,33189
1638747092,33189,63
1638833541,63,419
1638920003,419,72
1639006459,72,361
1639092957,361,35
1639179375,35,4150
1639265875,4150,1600
1639352282,1583,593
1639438761,610,845
1639525203,845,471
1639611669,471,2059
1639698195,2059,1321
1639784699,1321,283
1639871102,283,353
1639957564,353,4119
1640044036,4119,1354
1640130705,1354,27180
1640217127,27180,2355
1640303634,2323,779
1640390069,811,71
1640476594,71,97
1640563152,97,893
1640649604,893,1166
1640736067,1166,280
1640822531,280,54
1640909012,54,390
1640995443,390,3098
1641081905,3098,12
1641168422,12,372
1641254909,372,148
1641341347,148,169
1641427884,169,599
1641514357,599,341
1641600806,341,134
1641687286,134,294
1641773702,293,528
1641860187,529,470
1641946627,470,826
1642033179,826,3210
1642119605,3209,606
1642206149,607,520
1642292590,520,4411
1642379043,4411,334
1642465504,334,715
1642551973,715,66372
1642638446,66372,4292
1642724888,4291,1579
1642811342,1580,32949
1642897802,32949,27
1642984276,27,3501
1643070736,3501,622
1643157187,622,357
1643243650,357,734
1643330195,734,960
1643416711,960,192
1643503207,192,8459
1643589684,8459,4185
1643676137,4185,7205
1643762645,7205,8951
1643849143,8695,836
1643935622,1092,33342
1644022088,33342,298
1644108573,298,1112
1644195193,1112,698
1644281816,697,111
1644368279,112,2096
1644454797,2096,1830
1644541202,1830,752
1644627673,752,536
1644714151,536,2732
1644800594,2732,5175
1644887096,5175,278
1644973721,278,269
