DateTime,AddedIPs,RemovedIPs
1623990009,31,21
1624076168,36,28
1624165691,34,45
1624250652,38,27
1624335850,29,32
1624424888,41,30
1624510330,39,35
1624595047,28,0
1624684332,38,48
1624769770,37,30
1624855928,42,33
1624941368,36,0
1625027048,39,38
1625115847,38,63
1625201529,26,22
1625287208,36,35
1625373127,34,0
1625458332,35,74
1625547367,41,0
1625632807,36,71
1625718734,38,33
1625807771,34,36
1625892730,42,29
1625977694,38,0
1626066247,38,66
1626151688,42,37
1626236889,34,0
1626322333,28,32
1626411691,40,72
1626497049,35,35
1626582007,35,0
1626671530,37,74
1626757454,29,0
1626843370,24,81
1626929053,40,44
1627015931,35,0
1627101369,31,37
1627186571,34,32
1627276328,35,30
1627362730,29,67
1627448409,35,40
1627535528,34,32
1627621220,30,37
1627707375,34,0
1627793287,31,32
1627878971,37,25
1627964651,33,31
1628053449,34,66
1628139366,34,0
1628224806,34,36
1628309766,27,36
1628399529,41,29
1628484726,28,33
1628570170,33,74
1628655607,34,0
1628744647,28,75
1628830810,22,36
1628916247,42,29
1629001450,37,0
1629090968,36,74
1629176419,40,40
1629261608,42,0
1629347292,36,36
1629436570,38,53
1629522006,12,36
1629613992,34,35
1629695765,38,27
1629781447,37,38
1629866650,37,0
1629952328,33,36
1630038007,37,33
1630126567,33,32
1630212728,34,36
1630298408,40,33
1630384089,33,38
1630470969,37,32
1630557132,40,70
1630645928,34,29
1630731127,28,0
1630816813,40,70
1630902733,43,31
1630991525,35,0
1631076965,29,65
1631162889,29,26
1631248807,39,34
1631334726,28,0
1631424005,45,54
1631508967,42,43
1631596565,29,41
1631682017,44,0
1631767931,38,35
1631853605,29,34
1631938807,21,38
1632027366,38,42
1632112326,45,22
1632199449,41,18
1632288009,41,69
1632373686,34,38
1632459613,30,35
1632548890,39,46
1632630246,38,36
1632718568,43,38
1632804006,30,0
1632892328,39,77
1632978250,24,35
1633063213,47,39
1633152248,36,47
1633237466,34,0
1633322888,41,45
1633408824,26,76
1633497147,40,47
1633580886,35,0
1633669924,38,66
1633756091,34,31
1633841769,35,39
1633926969,41,29
1634013124,27,0
1634102646,40,83
1634188566,19,28
1634274005,29,0
1634359447,30,45
1634448248,27,70
1634533925,38,21
1634619127,38,0
1634707928,38,93
1634793364,38,45
1634880007,42,0
1634965927,37,75
1635052325,31,26
1635137765,44,0
1635222970,31,68
1635309846,40,0
1635396248,24,68
1635482405,26,0
1635569047,32,40
1635655153,45,35
1635741370,27,47
1635827768,30,35
1635914404,42,35
1636000570,19,42
1636087446,45,28
1636174085,27,75
1636260485,36,0
1636347617,35,40
1636433764,30,32
1636519923,37,71
1636606323,46,31
1636692244,44,0
1636781529,33,65
1636868169,46,28
1636953366,43,33
1637038818,43,0
1637124249,42,24
1637210654,45,38
1637300410,31,79
1637386571,43,38
1637472490,47,44
1637558167,42,31
1637644570,47,30
1637691132,46,0
1637730018,38,41
1637815689,40,34
1637905210,44,38
1637991371,44,29
1638076806,40,28
1638162728,41,30
1638247688,41,43
1638336971,39,27
1638422646,40,30
1638508089,37,43
1638593048,42,21
1638680416,40,45
1638769206,40,30
1638854886,42,35
1638940571,34,38
1639026253,36,46
1639112166,39,36
1639201927,40,44
1639287125,43,44
1639372564,37,0
1639458248,40,35
1639543930,46,46
1639633448,36,83
1639719605,39,42
1639804327,41,45
1639889284,39,0
1639975685,35,31
1640065210,37,94
1640150646,44,41
1640235850,39,0
1640322485,44,129
1640408647,31,41
1640494816,41,0
1640583847,35,85
1640669526,27,34
1640755447,45,32
1640840885,43,39
1640926328,42,0
1641015851,47,73
1641101771,41,38
1641187449,45,42
1641275046,38,39
1641360968,40,0
1641446405,42,39
1641531849,45,40
1641618728,41,78
1641707527,33,37
1641793205,43,0
1641878166,40,33
1641963617,42,42
1642049768,47,36
1642139527,46,81
1642224727,46,0
1642310651,44,44
1642395621,43,39
1642484646,31,76
1642570328,47,34
1642656006,47,0
1642740966,41,43
1642830248,43,85
1642916410,39,44
1643001606,42,29
1643088726,42,46
1643174166,34,0
1643259367,33,42
1643345529,43,28
1643434805,39,84
1643520490,38,44
1643606169,43,0
1643692813,42,44
1643779448,38,41
1643864414,41,43
1643953930,45,82
1644039368,42,43
1644123847,46,0
1644209529,43,47
1644299049,40,44
1644384966,40,34
1644471368,42,85
1644557530,32,44
1644644171,44,46
1644729850,39,0
1644816248,39,46
1644901932,37,39
1644989113,39,91
1645075450,33,0
1645162113,33,35
1645249612,40,93
1645334895,37,37
1645421771,42,0
1645506029,39,44
1645595286,44,82
1645681690,41,36
1645766648,34,37
1645852809,41,40
1645938032,40,45
1646023688,38,0
1646112487,40,38
1646197450,41,42
1646283367,37,42
1646372648,38,84
1646458807,45,43
1646544972,40,0
1646630065,31,30
1646716566,35,85
1646801770,42,47
1646887927,27,0
1646977207,27,83
1647062651,44,0
1647148327,40,41
1647233529,31,27
1647320891,43,37
1647407526,37,39
1647493206,39,39
1647582485,30,77
1647669126,23,35
1647754812,36,38
1647840248,38,0
1647926405,32,39
1648011848,40,39
1648100645,38,82
1648186087,33,0
1648271763,40,43
1648357683,30,35
1648443849,35,34
1648532646,36,74
1648618032,41,43
1648703766,43,0
1648792330,34,75
1648877285,45,33
1648962966,43,0
1649051766,31,70
1649137447,43,43
1649224089,40,33
1649308569,39,38
1649394018,31,45
1649483531,45,34
1649569686,45,32
1649654887,33,33
1649740808,44,37
1649826251,34,39
1649915140,50,32
1650000725,47,39
1650086407,36,44
1650172329,45,0
1650258252,29,35
1650347288,40,78
1650432486,28,37
1650517686,40,0
1650607207,34,75
1650692891,42,43
1650778811,32,33
1650863769,31,39
1650949691,39,33
1651038968,48,45
1651124409,47,0
1651209849,37,47
1651295047,42,48
1651384330,43,36
1651470010,29,81
1651556167,47,39
1651642325,45,0
1651728485,45,43
1651814165,26,37
1651900325,46,27
1651986246,43,69
1652075529,30,0
1652163848,46,91
1652245927,33,0
1652331851,47,35
1652422088,33,75
1652508014,45,46
1652593685,41,46
1652678407,31,0
1652765533,40,74
1652851206,32,30
1652936887,45,0
1653026406,34,67
1653111847,48,41
1653197767,47,0
1653282728,36,33
1653372248,46,73
1653457448,35,33
1653542886,42,36
1653629768,34,0
1653715927,46,43
1653800887,42,47
1653889928,38,85
1653976087,44,0
1654061768,24,44
1654146970,39,29
1654236493,26,91
1654321208,45,43
1654407610,39,31
1654496168,39,49
1654578726,37,42
1654666332,42,0
1654752250,41,31
1654838406,41,80
1654927209,43,46
1655013369,39,0
1655099287,33,30
1655184969,40,44
1655270165,30,45
1655359452,37,71
1655444647,39,35
1655530327,39,46
1655616247,36,0
1655702648,39,36
1655788808,38,43
1655877852,27,81
1655963233,40,0
1656048968,36,45
1656136326,36,79
1656222964,42,30
1656309131,38,45
1656395290,41,38
1656480488,30,0
1656566650,37,41
1656652819,28,39
1656741848,37,69
1656827290,35,0
1656914408,26,66
1657000324,37,39
1657087207,19,0
1657173127,34,75
1657258566,21,37
1657344739,33,40
1657430894,36,43
1657516567,30,0
1657606565,32,73
1657692731,47,33
1657778416,26,44
1657864331,42,29
1657950967,36,0
1658035928,41,35
1658124731,41,73
1658209925,40,40
1658294408,41,0
1658383926,27,77
1658469607,43,0
1658555047,29,24
1658643606,36,70
1658728327,43,40
1658814490,45,0
1658900406,44,45
1658985849,30,37
1659074655,46,70
1659159607,28,36
1659248409,32,29
1659333365,42,0
1659419768,38,79
1659504968,40,0
1659590891,33,25
1659680170,45,55
1659766806,46,36
1659852966,43,23
1659939129,36,40
1660024805,42,43
1660110489,46,30
1660196166,36,0
1660285206,47,81
1660370414,31,0
1660455372,33,27
1660543926,41,70
1660628652,29,41
1660714326,35,0
1660803130,37,72
1660888328,44,35
1660973528,33,0
1661063048,24,78
1661148255,41,30
1661234167,31,0
1661319373,40,35
1661409126,30,83
1661494810,35,47
1661580008,31,34
1661665930,32,0
1661754731,36,72
1661840408,39,0
1661925858,38,75
1662011047,33,0
1662100088,37,80
1662185055,37,47
1662270247,36,0
1662355930,36,45
1662444965,38,47
1662530654,42,44
1662617055,34,82
1662703210,33,46
1662789132,47,37
1662877930,48,44
1662963370,38,30
1663047290,42,0
1663134867,44,31
1663222392,41,70
1663309345,45,29
1663395612,45,32
1663480329,43,0
1663566009,40,68
1663655287,44,28
1663741211,45,39
1663826653,37,25
1663912331,38,39
1664001366,39,33
1664086808,42,0
1664171765,41,37
1664257931,42,70
1664343609,44,0
1664433137,36,69
1664518188,34,42
1664603286,44,37
1664692086,47,0
1664777526,46,77
1664862248,45,36
1664951524,46,36
1665036729,39,0
1665121928,40,42
1665210968,38,73
1665297125,43,44
1665383048,40,43
1665468011,47,0
1665557046,47,81
1665643204,43,35
1665729609,42,42
1665815529,39,42
1665901208,35,0
1665987608,39,45
1666073528,39,86
1666158970,40,40
1666248013,35,46
1666334646,29,37
1666420811,38,38
1666506251,40,44
1666592166,30,0
1666677609,28,44
1666764492,42,90
1666851368,39,43
1666938006,33,43
1667024654,36,0
