DateTime,Entries,UniqueIPs
1624060570,50,50
1624146249,97,99
1624231446,89,100
1624320249,49,50
1624405448,96,98
1624490890,89,99
1624579688,48,50
1624664648,96,100
1624750087,84,100
1624836250,84,98
1624921931,96,98
1625011448,41,50
1625096408,88,99
1625182330,92,97
1625267771,87,99
1625353690,88,99
1625442488,50,50
1625528170,93,98
1625613131,81,89
1625702891,47,50
1625788328,84,92
1625873529,88,96
1625958492,88,94
1626047053,38,50
1626132253,84,96
1626221532,47,50
1626306967,85,100
1626392408,86,100
1626477608,90,95
1626566649,46,50
1626651849,90,97
1626738008,93,97
1626823939,82,96
1626909848,82,97
1626995767,95,98
1627082169,50,50
1627170968,49,50
1627256888,92,95
1627343286,93,96
1627429208,94,98
1627516328,48,50
1627601773,86,99
1627687689,86,99
1627773369,94,99
1627859528,89,98
1627949048,50,50
1628034247,98,98
1628119927,94,100
1628205368,91,99
1628294166,48,50
1628380087,92,96
1628465050,95,99
1628550971,94,99
1628640011,48,49
1628725451,96,99
1628811372,96,98
1628897048,98,99
1628985847,50,50
1629071525,98,100
1629156968,95,96
1629242406,97,97
1629331926,49,50
1629417127,94,99
1629502329,89,99
1629588006,89,98
1629676566,49,50
1629761768,95,98
1629847206,96,97
1629932885,93,100
1630022165,46,50
1630106648,93,98
1630193046,84,99
1630278972,79,96
1630368254,49,50
1630451290,93,99
1630537689,93,99
1630626726,49,50
1630711691,88,96
1630797367,92,98
1630887131,47,50
1630983368,48,50
1631057768,97,100
1631143206,96,97
1631229367,98,99
1631315524,92,96
1631404324,49,50
1631489769,92,96
1631577125,47,50
1631662804,95,98
1631748486,100,100
1631833932,98,99
1631923221,47,50
1632007927,91,98
1632093127,85,98
1632180250,50,50
1632268568,40,50
1632354248,89,100
1632440172,98,99
1632525607,96,98
1632614648,49,50
1632699369,93,98
1632784569,92,100
1632873126,49,50
1632959054,96,98
1633044007,87,100
1633132822,49,50
1633218010,95,97
1633303684,83,97
1633389369,87,100
1633477928,48,50
1633564087,86,100
1633649049,85,100
1633734966,95,99
1633824015,39,50
1633909928,85,100
1633995126,96,100
1634080804,87,100
1634170086,49,50
1634256247,96,100
1634341923,90,99
1634427124,78,90
1634512803,90,100
1634601848,48,50
1634687528,90,100
