DateTime,AddedIPs,RemovedIPs
1623825125,18,22
1623910329,14,26
1623997932,17,0
1624083854,10,16
1624169526,12,13
1624258328,10,40
1624343524,15,11
1624428730,17,22
1624514168,20,0
1624602726,15,53
1624688168,16,0
1624773852,10,21
1624859764,18,29
1624949052,17,25
1625034727,14,15
1625119686,19,0
1625205364,17,21
1625294884,20,40
1625380806,15,0
1625466006,13,31
1625551218,16,0
1625640489,20,28
1625726411,20,16
1625811608,19,23
1625900484,21,14
1625985367,11,13
1626070086,20,0
1626159367,21,26
1626244809,20,0
1626330249,16,13
1626415447,13,22
1626504730,17,27
1626589926,15,0
1626675366,12,9
1626761530,25,21
1626847284,17,0
1626936727,14,29
1627023620,19,18
1627109047,36,15
1627194247,7,0
1627280168,15,13
1627366567,17,22
1627452245,13,22
1627539609,18,0
1627625052,7,15
1627715047,22,30
1627800968,14,22
1627886646,6,0
1627972326,18,9
1628057528,14,16
1628143450,14,34
1628232488,20,0
1628317683,13,19
1628403368,14,20
1628492415,10,17
1628577846,11,33
1628663284,20,23
1628748726,10,0
1628834646,17,25
1628923924,11,32
1629009367,8,13
1629094808,12,0
1629180248,13,14
1629269288,16,33
1629354969,19,19
1629440405,21,12
1629525844,18,0
1629615848,5,43
1629701529,12,12
1629787683,19,22
1629873126,21,17
1629959047,9,15
1630045209,13,18
1630131125,17,0
1630220425,7,36
1630306088,11,0
1630391772,19,20
1630478886,23,23
1630564808,17,20
1630649768,22,15
1630739050,14,14
1630824489,13,18
1630910650,11,12
1630995129,24,0
1631084409,29,14
1631169848,39,31
1631255525,30,15
1631341211,18,17
1631429527,13,10
1631515447,17,0
1631601606,13,16
1631686332,18,0
1631775607,18,28
1631861285,10,0
1631948414,15,41
1632034084,12,17
1632119768,4,6
1632207128,8,0
1632291846,7,12
1632377527,16,19
1632464647,21,25
1632552247,9,22
1632637925,12,12
1632726255,8,9
1632811687,11,0
1632896405,19,14
1632986170,17,40
1633071130,9,21
1633156085,7,0
1633245129,8,39
1633328886,7,0
1633414565,8,8
1633504325,14,34
1633589285,11,28
1633674967,13,0
1633759925,13,30
1633849449,9,59
1633934886,9,16
1634020803,14,0
1634106483,4,17
1634192403,10,14
1634281923,12,42
1634367365,10,0
1634452085,6,15
1634537764,9,15
1634627051,11,17
1634711768,13,0
1634797204,23,12
1634883845,18,10
1634969765,14,27
1635056409,8,0
1635145690,12,24
1635230884,18,10
1635317765,18,0
1635403925,13,33
1635490329,22,17
1635576725,13,0
1635662887,5,8
1635749047,16,11
1635835925,21,0
1635922325,11,14
1636008486,29,10
1636095124,15,0
1636182013,23,21
1636268166,23,15
1636354815,14,10
1636440966,18,0
1636526646,23,8
1636611847,16,15
1636701125,21,14
1636786086,23,11
1636872011,16,0
1636957211,16,12
1637046485,16,15
1637131924,23,11
1637218567,18,0
1637304247,28,40
1637390412,29,13
1637476327,21,15
1637562007,15,8
1637648410,18,14
1637691130,11,0
1637737684,16,0
1637823368,24,28
1637909050,7,0
1637995449,18,13
1638080648,20,23
1638170405,10,22
1638255371,17,15
1638340806,21,0
1638426485,24,18
1638515767,16,43
1638602647,17,14
1638688092,14,23
1638773049,15,0
1638858726,17,18
1638946330,19,12
1639034168,18,44
1639118403,15,0
1639204087,12,35
1639293367,4,20
1639379053,8,19
1639464964,23,12
1639550883,43,15
1639636565,31,0
1639725604,15,42
1639811285,12,21
