DateTime,AddedIPs,RemovedIPs
1666630923,21,2
1666631523,5,1
1666632123,7,1
1666632724,87,0
1666633322,75,6
1666634522,59,8
1666635123,31,0
1666636322,27,12
1666637523,9,9
1666638723,2,1
1666639323,7,0
1666639924,6,0
1666640523,1,0
1666641723,1,16
1666642323,12,5
1666642922,2,6
1666643523,4,0
1666644123,11,1
1666644722,3,0
1666645322,11,0
1666646524,15,7
1666647123,2,0
1666647723,5,3
1666648922,4,7
1666649523,4,0
1666650123,1,4
1666651322,2,8
1666652522,3,29
1666653123,1,0
1666653723,5,0
1666654323,3,7
1666655524,7,0
1666656123,8,4
1666656722,4,0
1666657323,9,12
1666657924,0,23
1666658523,4,0
1666659123,0,5
1666659723,1,2
1666660323,3,2
1666661524,2,27
1666662123,1,0
1666663323,3,11
1666663923,2,0
1666665722,7,28
1666666322,1,0
1666666923,1,23
1666668123,0,3
1666669322,5,0
1666669922,0,1
1666670523,1,7
1666671123,0,6
1666672324,1,0
1666672923,2,8
1666673523,1,3
1666674122,3,2
1666674722,0,16
1666675323,0,2
1666675923,8,0
1666676522,3,1
1666677722,11,1
1666678923,26,1
1666680123,30,0
1666681322,2,14
1666681922,12,0
1666682523,28,1
1666683123,5,0
1666683723,15,4
1666684323,15,15
1666684922,2,0
1666685523,1,6
1666686123,8,5
1666686723,1,0
1666687323,0,19
1666687923,2,0
1666688523,0,2
1666689123,2,0
1666690323,5,15
1666690923,3,16
1666692123,6,56
1666692722,3,0
1666693322,0,3
1666693922,8,0
1666695122,5,0
1666695722,4,0
1666696323,2,4
1666698722,1,3
1666699323,1,7
1666700522,1,15
1666701123,1,0
1666701722,2,0
1666702323,2,2
1666702922,12,4
1666704123,9,3
1666704723,3,0
1666705324,4,1
1666706523,4,0
1666707122,1,2
1666707723,5,4
1666709522,5,1
1666710123,1,0
1666711323,3,1
1666711923,3,0
1666712523,4,1
1666713122,2,3
1666713723,1,0
1666714922,2,2
1666716123,2,33
1666717322,0,4
1666717924,2,1
1666719123,6,0
1666719722,3,0
1666720922,7,8
1666722123,20,1
1666722723,2,0
1666723323,1,0
1666723922,2,6
1666725123,1,6
1666725722,1,36
1666726923,4,2
1666727522,4,0
1666728723,3,0
1666729323,2,0
1666730523,4,4
1666731123,2,0
1666732922,3,3
1666733523,8,0
1666734722,2,5
1666735323,7,4
1666736522,5,0
1666737123,7,4
1666737723,6,3
1666738922,12,6
1666739523,8,0
1666740724,2,1
1666741323,2,1
1666742524,11,4
1666743122,14,24
1666743723,77,3
1666744922,12,6
1666746122,21,1
1666747322,14,0
1666747924,7,0
1666748524,26,48
1666749123,4,0
1666749723,18,0
1666750323,4,5
1666750923,10,2
1666752123,14,6
1666753322,12,3
1666753923,1,0
1666754522,12,0
1666755123,7,7
1666755723,2,0
1666756923,10,4
1666758123,7,0
1666758724,59,31
1666759323,8,5
1666760524,16,8
1666761722,5,13
1666762324,43,3
1666762923,9,0
1666763523,14,2
1666764123,19,7
1666764723,2,0
1666765322,2,6
1666766523,40,6
1666767122,10,0
1666768323,4,8
1666768923,1,0
1666770123,13,12
1666770722,24,10
1666771322,37,5
1666772522,18,4
1666773722,12,0
1666774923,12,3
1666775523,6,8
1666776122,18,0
1666776724,8,6
1666777923,7,5
1666778523,1,0
1666779122,5,13
1666780324,30,31
1666780922,27,3
1666782123,34,5
1666782723,17,1
1666783322,43,0
1666783924,15,1
1666784523,14,0
1666785723,5,5
1666786922,26,1
1666788123,12,1
1666788724,21,4
1666789923,6,6
1666790523,10,2
1666791125,13,0
1666792322,12,0
1666792923,5,0
1666793523,0,5
1666794723,10,5
1666795322,14,0
1666795923,2,1
1666796522,8,0
1666797722,3,0
1666798923,8,1
1666800122,6,8
1666801322,24,0
1666802522,3,6
1666803723,17,2
1666804923,9,1
1666805523,18,0
1666806123,7,37
1666806723,6,0
1666807322,2,0
1666808523,0,2
1666809722,4,5
1666810922,2,0
1666811522,4,1
1666812123,3,3
1666813322,23,2
1666814523,3,4
1666815124,1,0
1666815723,3,5
1666816923,2,0
1666818123,14,3
1666818723,9,1
1666819323,6,0
1666820523,6,12
1666821723,3,6
1666822922,9,0
1666823523,6,2
1666824123,29,0
1666824723,4,1
1666825324,3,0
1666825924,3,1
1666826522,4,1
1666827124,5,0
1666827724,10,0
1666828323,10,10
1666828922,3,0
1666830123,5,14
1666830724,0,6
1666831322,8,17
1666831922,3,0
1666832523,5,0
1666833124,1,3
1666834324,4,0
1666834924,34,0
1666835524,4,0
1666836123,5,1
1666836724,4,0
1666837324,7,0
1666837923,1,0
1666838523,0,9
1666839123,1,1
1666839723,4,0
1666840324,0,2
1666840922,6,0
1666842124,3,9
1666843323,3,3
1666843924,4,0
1666844523,3,0
1666845124,2,0
1666845723,25,1
1666846925,3,7
1666847522,1,0
1666848123,6,1
1666848723,1,12
1666849923,7,3
1666850523,3,24
1666851123,1,0
1666851723,0,16
1666852324,4,0
1666853522,2,2
1666854122,8,1
1666854723,10,0
1666855323,5,0
1666856524,4,39
1666857124,4,0
1666857723,3,2
1666858324,3,28
1666858923,6,0
1666860123,3,35
1666860723,14,16
1666861324,2,0
1666861924,4,5
1666862523,9,0
1666863723,15,5
1666864323,12,0
1666865523,9,8
1666866124,2,0
1666866724,25,3
1666867923,23,36
1666869123,21,6
1666869723,16,0
1666870324,8,3
1666870924,7,6
1666872123,7,6
1666872723,3,0
1666873324,1,9
1666873924,6,0
1666874524,5,0
1666875723,7,39
1666876923,2,2
1666878124,7,1
1666878723,6,3
1666879323,2,0
1666879923,2,1
1666881123,5,4
1666882922,15,2
1666884123,9,4
1666884724,9,8
1666885922,8,28
1666886522,10,0
1666887724,2,3
1666888324,3,0
1666888923,24,13
1666889523,20,0
1666890123,3,0
1666891323,14,0
1666892523,14,12
1666893723,22,4
1666894323,14,0
1666894923,8,0
1666895525,3,0
1666896123,5,8
1666897324,9,4
1666897923,3,1
1666898524,4,2
1666899125,9,6
1666899723,4,0
1666900923,7,10
1666902124,1,3
1666902723,8,4
1666903324,4,0
1666903922,12,0
1666904523,10,4
1666905725,2,17
1666906923,9,18
1666907523,7,0
1666908123,8,2
1666908724,5,0
1666909323,10,3
1666910523,4,0
1666911723,2,2
1666912323,8,0
1666912923,3,2
1666913523,3,3
1666914123,2,0
1666914723,7,0
1666915323,3,7
1666915924,5,0
1666916524,1,2
1666917723,3,4
1666918923,7,19
1666920123,6,14
1666920725,3,0
1666921323,2,0
1666921922,1,0
1666922524,5,0
1666923722,6,27
1666924324,6,0
1666924923,6,3
1666925524,1,12
1666926123,7,4
1666928523,5,8
1666929123,3,0
1666929722,3,2
1666930923,4,3
1666932124,5,6
1666932723,3,0
1666933923,5,6
1666934523,12,1
1666935723,2,5
1666936323,3,4
1666938122,1,6
1666939323,1,5
1666940522,6,5
1666941122,5,0
1666941723,3,9
1666942323,5,2
1666942923,2,0
1666944123,1,0
1666945323,2,15
1666945923,2,32
1666946523,3,0
1666948323,3,3
1666948923,0,1
1666949523,4,5
1666950723,9,8
1666952522,14,1
1666953123,2,5
1666953722,3,2
1666954322,5,0
1666954923,1,7
1666956122,4,0
1666956724,4,1
1666957323,3,2
1666957922,0,1
1666958523,1,3
1666959723,3,4
1666960923,2,9
1666961523,1,0
1666962723,23,3
1666963324,4,4
1666963923,1,1
1666965122,3,5
1666965723,24,3
1666966923,6,1
1666967524,5,0
1666968722,37,1
1666969324,35,9
1666969923,10,10
1666970523,4,0
1666971124,47,34
1666971722,14,3
1666972323,43,5
1666972923,7,0
1666974124,24,6
1666974725,13,0
1666975323,7,3
1666976523,18,23
1666977124,25,0
1666977724,4,5
1666978324,23,0
1666978923,4,0
1666980123,8,1
1666981323,12,0
1666981923,3,2
1666982523,3,0
1666983123,13,0
1666984324,35,3
1666984923,69,0
1666985525,3,6
1666986123,76,3
1666986723,6,0
1666987324,3,1
1666987923,54,0
1666988523,14,0
1666989724,10,1
1666990323,48,3
1666990924,2,0
1666991523,48,3
1666992123,10,0
1666993323,57,7
1666994526,16,4
1666995724,6,4
1666996924,34,11
1666998124,23,2
1666998724,33,1
1666999324,1,0
1666999925,33,0
1667000524,14,0
1667001723,13,4
1667002323,11,8
1667003525,11,7
1667004124,18,2
1667004725,5,6
1667005325,22,0
1667005923,12,0
1667006523,23,0
1667007124,19,0
1667007723,3,2
1667008925,12,0
1667009524,21,9
1667010124,4,1
1667011323,10,1
1667012523,11,5
1667013123,17,0
1667013723,11,2
1667014925,7,0
1667015524,11,5
1667016123,3,0
1667017323,6,1
1667018524,2,0
1667019723,5,0
1667020924,7,3
1667021524,4,0
1667022124,28,2
1667022724,4,2
1667023323,3,0
1667024523,5,0
1667025126,4,3
1667025724,2,0
1667026323,0,12
1667026923,4,0
1667028122,7,2
1667029323,6,3
1667030523,2,0
1667031123,7,0
1667032923,10,0
1667033524,3,0
1667034123,4,3
1667035324,12,2
1667035923,8,0
1667036523,5,10
1667037123,3,0
1667037724,2,2
1667038324,4,0
1667038923,7,0
