DateTime,AddedIPs,RemovedIPs
1666069323,2,0
1666071724,1,0
1666077123,0,1
1666083122,0,4
1666083722,0,3
1666084323,2,2
1666084923,1,0
1666085524,2,3
1666086724,2,0
1666087322,0,5
1666090323,3,0
1666092122,2,0
1666095723,3,0
1666097524,1,0
1666098123,1,0
1666101722,0,1
1666104723,1,2
1666105923,1,0
1666108322,1,0
1666116723,1,0
1666119723,0,1
1666121524,0,1
1666123923,2,10
1666126922,0,1
1666128123,1,0
1666129923,0,2
1666131722,1,0
1666134723,0,1
1666137723,1,2
1666138924,0,21
1666139522,0,5
1666140723,1,0
1666141322,1,0
1666141923,3,0
1666144322,2,0
1666145523,2,0
1666147922,1,0
1666150322,1,0
1666153323,0,1
1666154523,0,3
1666163522,0,1
1666164724,1,0
1666166523,0,2
1666170723,0,7
1666172523,0,1
1666175523,1,0
1666178522,5,0
1666180922,8,0
1666182123,0,1
1666183322,2,0
1666186923,1,0
1666188723,0,2
1666189923,2,6
1666190522,1,0
1666191723,2,0
1666193523,0,2
1666195923,0,2
1666196523,0,2
1666197724,0,2
1666198923,0,1
1666201922,0,3
1666202523,0,1
1666204923,1,6
1666206122,1,0
1666206722,1,0
1666208524,2,1
1666209123,2,0
1666209722,3,0
1666212123,0,2
1666214523,0,1
1666215723,0,2
1666216922,1,2
1666218123,0,3
1666219324,0,3
1666219922,0,2
1666221722,1,0
1666224722,1,0
1666225322,53,0
1666225923,1,0
1666228322,3,0
1666229523,0,1
1666230723,1,0
1666232523,0,1
1666233723,0,1
1666236723,1,0
1666237323,1,0
1666239723,0,2
1666240922,1,1
1666251124,0,3
1666255323,1,1
1666256523,0,1
1666257123,2,0
1666257722,1,0
1666258923,2,0
1666260723,1,0
1666270922,1,0
1666271523,0,1
1666273323,2,2
1666278122,1,4
1666279923,0,2
1666281123,0,4
1666284722,1,0
1666286523,0,1
1666289523,1,1
1666294923,2,2
1666296123,2,0
1666297322,0,1
1666299123,4,0
1666299722,5,0
1666300923,3,0
1666302723,6,0
1666303322,1,0
1666303923,1,0
1666305124,2,0
1666306922,3,2
1666307523,1,0
1666308723,0,1
1666309323,2,0
1666311723,0,1
1666312923,0,1
1666313523,1,0
1666314122,1,0
1666317722,3,1
1666318323,0,3
1666318922,1,0
1666321322,1,0
1666323723,1,1
1666324923,3,0
1666326123,0,1
1666327323,0,1
1666328522,0,5
1666329123,1,0
1666337523,17,0
1666339923,1,0
1666340522,0,1
1666341722,0,1
1666344123,0,1
1666345922,2,0
1666347122,0,1
1666348323,0,3
1666348923,0,5
1666349522,1,0
1666350722,3,12
1666351322,0,1
1666352522,2,0
1666353722,1,0
1666354323,1,0
1666354923,0,2
1666359722,0,1
1666360922,2,0
1666362122,0,1
1666365722,0,8
1666366923,1,0
1666367522,1,0
1666369322,1,0
1666370523,2,0
1666372923,1,0
1666376523,0,2
1666377723,1,0
1666378322,1,0
1666378922,0,1
1666380123,3,1
1666381323,0,2
1666388523,0,1
1666389722,1,0
1666394523,1,0
1666395723,1,1
1666396322,0,6
1666397523,0,7
1666398123,1,2
1666399323,0,11
1666399923,0,1
1666401122,1,6
1666402323,2,0
1666402923,1,0
1666405323,0,2
1666405924,2,0
1666407723,0,1
1666409523,2,0
1666410122,0,1
1666412523,0,2
1666413722,4,0
1666414322,2,0
1666415523,1,2
1666416722,1,0
1666417323,0,3
1666422723,0,1
1666424522,1,0
1666427523,0,1
1666428122,1,1
1666428722,0,1
1666438923,1,0
1666444324,1,0
1666444923,1,0
1666446123,0,2
1666447922,2,0
1666449723,1,0
1666450323,1,0
1666454522,0,3
1666455723,0,1
1666458122,0,1
1666461122,0,1
1666461723,1,0
1666464123,1,0
1666464722,2,1
1666471922,2,0
1666473123,1,0
1666474324,0,3
1666476123,0,3
1666479122,1,0
1666479723,3,0
1666483324,3,1
1666483923,0,4
1666485123,1,20
1666488122,0,3
1666491723,1,0
1666494122,0,1
1666495323,1,0
1666496522,2,0
1666497123,0,1
1666498922,2,1
1666500122,1,4
1666501323,0,3
1666502523,0,25
1666507922,1,0
1666508523,1,0
1666509122,0,1
1666513923,2,0
1666516922,0,2
1666517523,1,0
1666519322,1,0
1666519923,0,1
1666522322,0,1
1666525922,0,1
1666526522,0,1
1666535522,1,1
1666536723,0,2
1666537923,0,1
1666539123,1,0
1666539723,0,1
1666546923,0,2
1666549323,1,0
1666549922,1,0
1666550523,0,1
1666552922,0,1
1666555323,0,2
1666559523,1,3
1666560723,1,1
1666561323,1,1
1666562522,0,1
1666563122,1,1
1666565523,6,0
1666567322,1,0
1666567922,0,1
1666569123,5,1
1666571524,0,2
1666574522,0,3
1666576922,1,2
1666578122,1,2
1666580523,1,0
1666581722,0,4
1666582324,0,3
1666584122,0,4
1666584722,1,0
1666589523,0,2
1666590122,0,1
1666591323,0,1
1666592522,1,0
1666593722,10,0
1666594922,0,1
1666596122,0,2
1666596723,0,3
1666600323,0,2
1666601522,0,1
1666606322,1,0
1666614123,0,1
1666617722,0,1
1666618324,1,0
1666621322,1,0
1666622522,2,23
1666629123,1,0
1666631523,2,0
1666633922,2,0
1666637523,0,1
1666638723,1,0
1666639924,1,0
1666641122,0,1
1666642323,1,2
1666645923,1,0
1666648922,1,0
1666652522,0,1
1666654323,1,4
1666656123,1,0
1666661524,1,0
1666662722,1,0
1666664522,1,0
1666665722,0,1
1666666923,0,3
1666669322,1,25
1666670523,1,0
1666672324,25,0
1666673523,3,0
1666674122,1,0
1666675323,1,1
1666676522,0,1
1666677722,1,0
1666680722,2,0
1666684922,0,9
1666686123,1,0
1666686723,1,0
1666688523,1,0
1666689723,0,1
1666690923,26,0
1666700522,1,0
1666702922,0,3
1666704723,0,1
1666706523,1,0
1666707723,0,3
1666711323,11,1
1666717923,1,0
1666719722,0,2
1666723922,0,1
1666729323,5,0
1666730523,0,3
