DateTime,AddedIPs,RemovedIPs
1665351887,230,0
1665357287,131,0
1665358186,24,0
1665359987,56,2712
1665362687,79,0
1665366288,119,0
1665369888,120,1
1665370787,17,0
1665374387,136,0
1665377987,134,0
1665380688,112,0
1665386987,254,0
1665392387,257,0
1665398686,274,0
1665402288,213,0
1665404087,104,0
1665406787,148,0
1665409488,125,0
1665410387,27,0
1665412188,74,0
1665414887,115,0
1665417588,139,0
1665421187,176,0
1665424788,190,0
1665429287,571,0
1665431988,101,0
1665432887,26,0
1665436487,113,0
1665440087,97,0
1665446387,203,2737
1665448188,48,0
1665449087,20,0
1665449988,33,0
1665452688,78,0
1665454488,58,0
1665456288,52,0
1665460787,131,0
1665463488,90,0
1665467988,137,0
1665471588,133,0
1665478787,318,0
1665482388,186,0
1665486888,204,0
1665490488,182,0
1665494087,209,0
1665497687,167,0
1665502187,220,0
1665503087,43,0
1665510287,296,0
1665511188,59,0
1665514787,171,0
1665518387,123,0
1665521087,88,0
1665525587,142,0
1665529188,100,0
1665536387,180,3872
1665539988,142,0
1665541788,54,0
1665543588,68,0
1665550787,227,0
1665557987,266,0
1665561587,162,0
1665562487,39,0
1665566087,152,0
1665568787,136,0
1665569687,30,0
1665573287,167,0
1665578687,231,0
1665585887,372,0
1665589487,135,0
1665593988,182,0
1665597587,130,0
1665598487,30,0
1665604787,268,0
1665610187,153,0
1665611988,37,0
1665615587,99,0
1665619188,108,3344
1665622787,143,0
1665623687,27,0
1665626387,101,0
1665628187,52,0
1665631788,95,0
1665638088,192,0
1665638986,23,0
1665646187,326,0
1665653386,262,0
1665655187,77,0
1665658787,167,0
1665665987,340,0
1665670487,206,0
1665674086,141,0
1665679487,189,0
1665681287,72,0
1665684887,119,0
1665686687,104,0
1665687588,34,0
1665693888,229,0
1665695688,50,0
1665698388,76,0
1665701087,92,0
1665708287,201,3257
1665709188,27,0
1665712788,116,0
1665716387,123,0
1665717287,37,0
1665720887,105,0
1665727187,217,0
1665730787,174,0
1665737087,290,0
1665737987,36,0
1665745186,312,0
1665751487,331,0
1665755087,242,0
1665755987,37,0
1665758687,118,0
1665762286,158,0
1665764086,89,0
1665765887,83,0
1665766787,45,0
1665768587,78,0
1665770387,71,0
1665773987,160,0
1665777587,126,0
1665781187,140,0
1665784787,149,0
1665785687,22,0
1665788387,87,0
1665791987,110,3167
1665793788,57,0
1665796487,74,0
1665798286,61,0
1665800086,69,0
1665801886,76,0
1665804587,83,0
1665805486,30,0
1665808187,78,0
1665809088,36,0
1665811786,119,0
1665813587,68,0
1665815387,49,0
1665822587,251,0
1665823487,48,0
1665830686,295,0
1665832487,82,0
1665835187,112,0
1665836088,28,0
1665836986,30,0
1665837886,47,0
1665841487,157,0
1665842386,30,0
1665845987,138,0
1665848687,112,0
1665849587,24,0
1665853187,135,0
1665860387,202,0
1665863986,116,0
1665868487,147,0
1665869387,31,0
1665872087,78,0
1665872987,27,0
1665873886,22,0
1665877487,103,0
1665880186,72,3556
1665881087,24,0
1665881986,26,0
1665884688,97,0
1665888287,109,0
1665894586,203,0
1665895487,28,0
1665896386,21,0
1665899086,70,0
1665899987,29,0
1665901786,52,0
1665904487,91,0
1665910786,166,0
1665912587,43,0
1665916187,98,0
1665917986,59,0
1665920687,84,0
1665921587,29,0
1665924286,77,0
1665927887,106,0
1665928787,36,0
1665931487,85,0
1665932386,18,0
1665935087,87,0
1665937787,98,0
1665939586,59,0
1665943186,131,0
1665945886,90,0
1665947687,87,0
1665949486,70,0
1665953087,105,0
1665955787,63,0
1665957587,56,0
1665964786,173,3153
1665971987,223,0
1665979186,244,0
1665984586,208,0
1665988187,181,0
1665989086,45,0
1665991787,153,0
1665992686,51,0
1665999886,349,0
1666003487,170,0
1666007086,196,0
1666008886,85,0
1666012486,264,0
1666013386,85,0
1666015186,98,0
1666016986,205,0
1666017887,33,0
1666024186,212,0
1666026887,99,0
1666027787,35,0
1666030487,101,0
1666035886,201,0
1666036786,32,0
1666040386,139,0
1666043987,131,0
1666047586,110,0
1666051187,98,2623
1666054786,85,0
1666058386,126,0
1666061987,116,0
1666069186,241,0
1666075487,233,0
1666079086,150,0
1666084486,295,0
1666086286,104,0
1666089886,186,0
1666093486,236,0
1666097085,186,0
1666097986,47,0
1666101586,247,0
1666105186,192,0
1666108786,171,0
1666115986,314,0
1666116887,35,0
1666120486,156,0
1666127685,285,0
1666128586,38,0
1666135786,267,0
1666136686,28,0
1666141186,194,3715
1666144786,154,0
1666146585,92,0
1666151986,232,0
1666154686,112,0
1666161885,299,0
1666165486,180,0
1666169987,237,0
1666173586,234,0
1666175387,97,0
1666177186,84,0
1666180786,225,0
1666184386,188,0
1666187986,158,0
1666188885,55,0
1666196086,370,0
1666196985,31,0
1666202386,202,0
1666205086,115,0
1666206886,50,0
1666208685,82,0
1666214986,219,0
1666216786,77,0
1666223987,228,3831
1666227586,141,0
1666228485,35,0
1666232086,121,0
1666235685,125,0
1666237486,61,0
1666239286,81,0
1666246486,287,0
1666251886,251,0
1666255485,170,0
1666259086,156,0
1666262686,136,0
1666267185,209,0
1666270787,180,0
1666274386,183,0
1666275286,40,0
1666281586,287,0
1666282485,35,0
1666286085,159,0
1666293286,320,0
1666295986,134,0
1666297786,57,0
1666299585,65,0
1666303186,118,0
1666304085,42,0
1666308585,214,0
1666310386,56,3892
1666313086,58,0
1666313985,19,0
1666317586,134,0
1666321186,129,0
1666324785,126,0
1666328386,133,0
1666331086,129,0
1666332886,100,0
1666333785,38,0
1666336485,132,0
1666341886,216,0
1666345485,138,0
1666352686,383,0
1666356286,224,0
1666359885,236,0
1666367085,409,0
1666370686,159,0
1666376085,202,0
1666378785,136,0
1666381486,111,0
1666384185,106,0
1666387785,130,0
1666393186,227,0
1666395885,78,0
1666399485,95,3642
1666403085,113,0
1666406686,109,0
1666411185,127,0
1666412985,63,0
1666416586,113,0
1666418386,54,0
1666421986,150,0
1666425585,123,0
1666432785,230,0
1666434586,78,0
1666438185,144,0
1666441785,133,0
1666447185,210,0
1666449885,104,0
1666454386,158,0
1666457085,73,0
1666464285,243,0
1666465186,32,0
1666468785,132,0
1666469685,40,0
1666473285,120,0
1666477785,145,0
1666483186,127,3932
1666486785,119,0
1666493085,177,0
1666496685,104,0
1666498485,43,0
1666502985,137,0
1666506585,107,0
1666511985,154,0
1666512885,60,0
1666514685,78,0
1666515585,36,0
1666522785,258,0
1666525484,114,0
1666529085,136,0
1666532685,119,0
1666539884,275,0
1666543485,140,0
1666547986,212,0
1666553384,204,0
1666560585,254,0
1666565085,128,0
1666566885,46,0
1666572285,155,2892
1666575885,119,0
1666579485,120,0
1666583085,96,0
1666586685,136,0
